titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
todos los cuentos;narrativa latinoamericana;literatura narrativa latinoamericana;10;14000,0;10500,0;0,25;garcia marquez, gabriel;debolsillo;rustico/bolsillo;0,356;19,0;12,5;2,8;2019,0;528,0;TODOS LOS CUENTOSEl lector encontrará los relatos tempranos de García Márquez recogidos bajo el título Ojos de perro azul, donde se incluye «Monólogo de Isabel viendo llover en Macondo», célebre texto que puso los cimientos del gigantesco edificio, tan imaginario como real, de lo que acabaría siendo el espacio literario más poderoso de las letras universales de nuestro tiempo: Macondo. Con Macondo se inauguraron los años del realismo mágico y de los personajes inmersos en el mundo denso y frutal del Caribe americano. De esta etapa, en plena madurez del autor, son sus siguientes libros de cuentos: Los funerales de la Mamá Grande, donde se narran las fastuosas exequias de la auténtica soberana de Macondo, y La increíble y triste historia de la cándida Eréndira y de su abuela desalmada. Los relatos más recientes, los Doce cuentos peregrinos, trasladan el escenario a la vieja Europa para hablarnos de la suerte de los latinoamericanos emigrados, de su melancolía y su tenacidad.Cuarenta y un relatos imprescindibles que recorren la trayectoria del autor de Cien años de soledad y que constituyen un impresionante legado para la literatura universal.«Entonces me miró. Yo creía que me miraba por primera vez. Pero luego, cuando dio la vuelta por detrás del velador y yo seguía sintiendo sobre el hombro, a mis espaldas, su resbaladiza y oleosa mirada, comprendí que era yo quien la miraba por primera vez.»AdquieraTODOS LOS CUENTOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789585454682-todos-los-cuentos/;2025-08-24;665,0
miedo liquido;sociologia;ciencias sociales;3;20900,0;14900,0;0,29;bauman, zygmunt;paidos;rustico;0,325;21,0;13,5;1,0;2023,0;304,0;MIEDO LIQUIDOCon este libro, Bauman, uno de los sociólogos europeos más influyentes de los últimos tiempos, analiza en profundidad uno de los grandes temas del siglo XXI: el miedo.Hasta ahora se creía que la modernidad iba a ser aquel período de la historia humana en el que, por fin, quedarían atrás los temores que atenazaban la vida social del pasado, y los seres humanos podríamos controlar nuestras vidas y dominar las imprevisibles fuerzas del mundo social y natural. Y, en cambio, volvemos a vivir una época de miedo.Tanto si nos referimos al miedo a las catástrofes naturales y medioambientales, o al miedo a los atentados terroristas indiscriminados, en la actualidad experimentamos una ansiedad constante por los peligros que pueden azotarnos sin previo aviso y en cualquier momento. «Miedo» es el término que empleamos para describir la incertidumbre que caracteriza nuestra era moderna líquida, nuestra ignorancia sobre la amenaza concreta que se cierne sobre nosotros y nuestra incapacidad para determinar qué podemos hacer (y qué no) para contrarrestarla.En esta obra ya clásica, Zygmunt Bauman —uno de los pensadores sociales más influyentes de nuestra época— nos presenta un inventario exhaustivo de los temores de la modernidad líquida y nos explica cómo podemos desactivarlos o hacer que se vuelvan inofensivos.AdquieraMIEDO LIQUIDOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566195597-miedo-liquido/;2025-08-24;283,5
los perros y los lobos;contemporanea;literatura contemporanea;3;13000,0;9750,0;0,25;nemirovsky, irene;salamandra bolsillo;rustico/bolsillo;0,221;20,5;13,0;1,0;2013,0;224,0;LOS PERROS Y LOS LOBOSTeñida de marcados ecos autobiográficos, la novela se construye con retazos de la infancia y del exilio, la crisis de identidad, las historias de amor, todo sujeto a los azarosos caprichos del destino.Publicada por primera vez en 1940 -año en que Irène Némirovsky huyó de París en compañía de su marido y sus dos pequeñas hijas para refugiarse en un pueblo de la Borgoña-, ésta es la última obra que la autora de la magistral Suite francesa publicó en vida, dos años antes de su deportación y asesinato en Auschwitz.Aday Harry Sinner, parientes lejanos, son dos jóvenes judíos procedentes de niveles sociales muy distintos a quienes un recuerdo infantil ha dejado una huella imborrable en sus vidas. Ada abandonó Ucrania poco antes de la revolución bolchevique, se ha casado con su primo Ben y lucha por abrirse camino como pintora. Harry, por su parte, ha contraído matrimonio con una joven francesa, hermosa, rica y católica, y se mueve en el mundo de las altas finanzas. Pero la fascinación que siente al contemplar dos cuadros de Ada en un escaparate lo llevan a recordar el mundo que ambos han dejado atrás.Con su destreza habitual para el retrato psicológico, Némirovsky delinea con claridad el torbellino de sentimientos de un clásico triángulo amoroso. Al hilo de los apasionados personajes, el relato transporta al lector desde Ucrania hasta el París de los años veinte, y la tensión narrativa crece sin cesar hasta la conclusión del relato.AdquieraLOS PERROS Y LOS LOBOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788498384703-los-perros-y-los-lobos/;2025-08-24;266,5
la sombra;thrillers;literatura thrillers;5;14000,0;10500,0;0,25;katzenbach, john;b de bolsillo;rustico/bolsillo;0,321;19,0;12,5;2,7;2011,0;456,0;LA SOMBRAEn el Miami de finales del siglo XX, la deprimente vida de Simon Winter – retirado de la Brigada de Homicidios de la Policía- da un giro inesperado cuando su aterrorizada vecina llama a la puerta de su apartamento. Sophie, superviviente del Holocausto, cree haber visto a La Sombra. A la mañana siguiente, aparece estrangulada, con los ojos desorbitados de terror.La policía supone que se trata de un asesinato más, pero Winter sabe la terrible verdad: un escurridizo asesino está eliminando a los supervivientes del Holocausto que viven en Miami.Tras años de retiro, Simon debe vérselas con un experto y sádico exterminador que pretende mantener su historia oculta para siempre.AdquieraLA SOMBRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566355182-la-sombra/;2025-08-24;641,25
la edad de hierro;contemporanea;literatura contemporanea;5;11000,0;8250,0;0,25;coetzee, j.m.;debolsillo;rustico/bolsillo;0,205;19,0;13,0;1,0;2023,0;224,0;LA EDAD DE HIERRO«Este hombre es una de las voces más importantes de la actual Sudáfrica. Gran literatura. Para mí ha sido el descubrimiento del año. Libro triste donde los haya, ideal para pasar una buena gripe, su lectura te hunde de tal modo que una vez tocado fondo solo puedes tirar para arriba. En serio, Coetzee es un escritor fuera de serie, y la novela nos da unavisión estremecedora y cotidiana de Sudáfrica. Ese país donde todos sabemos que las cosas están mal, pero que parece importarnos tan poco». Pedro Almodóvar, cineasta«La edad de hierro es una novela de una belleza rara, diría incluso que existe la extraña necesidad de esta novela». Jordi Llovet, diario El PaísAdquieraLA EDAD DE HIERROen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255720-la-edad-de-hierro/;2025-08-24;247,0
el cuadrante del flujo de dinero;economia y negocios;economia y negocios;5;13000,0;9750,0;0,25;kiyosaki, robert t.;debolsillo;rustico/bolsillo;0,25;19,0;12,5;2,3;2017,0;360,0;"EL CUADRANTE DEL FLUJO DE DINEROUn libro para todos aquellos que no desean seguir atados a la seguridad laboral; para las personas que están listas para realizar cambios trascendentales en el mundo en el que vivimos, donde la información es indispensable para conquistar la libertad financiera.De Robert T. Kiyosaki, autor de Padre Rico, Padre Pobre, el libro #1 de finanzas personales.Este libro te revelará por qué algunas personas trabajan menos, ganan más, pagan menos impuestos y se sienten más seguras financieramente que las demás.La respuesta es sencilla: se trata de saber en qué sección del cuadrante del flujo de dinero trabajar y cuándo hacerlo.El cuadrante del flujo de dinero ha sido escrito para todos aquellos que no desean seguir atados a la seguridad laboral; para las personas que están listas para realizar cambios trascendentales en el mundo en el que vivimos, donde la información es indispensable para conquistar la libertad financiera.“Este libro trata de las buenas opciones, de las nuevas direcciones y del nuevo futuro financiero que están a tu disposición” -Robert T. Kiyosaki-“Muchas personas no emprenderán el camino hasta que éste parezca libre de riesgos. Por eso jamás van a ninguna parte” -Keith Cunningham, cofundador de Prime Cable-AdquieraEL CUADRANTE DEL FLUJO DE DINEROen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9786073155441-el-cuadrante-del-flujo-de-dinero/;2025-08-24;546,25
creer en lo imposible antes del desayuno;autoayuda;autoayuda;5;12000,0;9000,0;0,25;osho;debolsillo;rustico/bolsillo;0,235;19,0;12,5;1,5;2007,0;304,0;CREER EN LO IMPOSIBLE ANTES DEL DESAYUNOAprende de la experiencia de la auténtica realidad.A lo largo de estas páginas Osho se centra en la meditación y en su papel en la búsqueda espiritual, pero no tanto en los aspectos técnicos como en los profundos cambios que experimentan quienes la practican en su personal percepción del mundo.Para responder a todo ello, Osho profundiza -con sencillez, humor y compasión- en los altibajos de cada experiencia individual a lo largo de este viaje. Identifica además las trampas en que puede caer la gente al meditar y da pistas para salir de ellas. La obra toca por tanto puntos como qué es -y no es- la meditación, así como los tópicos y malentendidos que ha construido el mundo occidental a su alrededor.AdquieraCREER EN LO IMPOSIBLE ANTES DEL DESAYUNOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256529-creer-en-lo-imposible-antes-del-desayuno/;2025-08-24;356,25
diario de ana frank;clasicos universales;literatura clasicos universales;14;12000,0;9000,0;0,25;frank, anne;debolsillo;rustico/bolsillo;0,31;19,5;13,5;2,3;2025,0;400,0;DIARIO DE ANA FRANKEdición definitiva del célebre Diario de Anne Frank. Su texto amplía en una cuarta parte las ediciones anteriores y ofrece una visión completa y fidedigna de la terrible odisea vivida durante la Segunda Guerra Mundial por la familia Frank.Tras la invasión de Holanda, los Frank, comerciantes judíos alemanes emigrados a Amsterdam en 1933, se ocultaron de la Gestapo en una buhardilla anexa al edificio donde el padre de Anne tenía sus oficinas. Ocho personas permanecieron recluidas desde junio de 1942 hasta agosto de 1944, fecha en que fueron detenidas y enviadas a campos de concentración. Desde su escondite y en las más precarias condiciones, Anne, una niña de trece años, escribió su estremecedor Diario: un testimonio único en su género sobre el horror y la barbarie nazi, y sobre los sentimientos y experiencias de la propia Anne y sus acompañantes. Anne murió en el campo de Bergen-Belsen en marzo de 1945. Su Diario nunca morirá.AdquieraDIARIO DE ANA FRANKen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466378895-diario-de-ana-frank/;2025-08-24;605,4749999999999
un padre de pelicula;autores chilenos;literatura autores chilenos;3;12000,0;9000,0;0,25;skarmeta, antonio;debolsillo;rustico;0,088;19,0;12,5;1,0;2025,0;92,0;UN PADRE DE PELICULAEn Contulmo, una aldea del sur de Chile, la vida del joven Jacques se verá marcada para siempre por la marcha de su padre a su París natal. Profesor en la escuela del pueblo, entabla una relación muy especial con un alumno, Augusto Gutiérrez, de 15 años, quien por su cumpleaños le pide que le acompañe a la ciudad vecina, Angol, para perder la virginidad. Jacques visitará antes el prostíbulo y, así, él mismo conoce el sexo por primera vez.En su iniciático viaje topa de forma casual con su padre, a quien todo el mundo imaginaba viviendo en París, quien le relatará que quiso cortar con su anterior vida tras tener un hijo con la hermana de Augusto, de sólo 19 años. La chica, sin embargo, los abandona y regresa a Contulmo. Así, el padre deberá arreglárselas para sobrevivir. La madre de Jacques, ajena a todo, sigue sumida en una depresión y no alcanza a entender el porqué de la marcha de su marido. Jacques, que desea darle una madre al bebé de su padre, propiciará un reencuentro del matrimonio.Dividido en 25 breves capítulos, el autor nos hace partícipes del paso del tiempo, el poder destino, el paso a la madurez, la asunción de responsabilidades, etc.AdquieraUN PADRE DE PELICULAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257076-un-padre-de-pelicula/;2025-08-24;237,5
los dias del arcoiris;autores chilenos;literatura autores chilenos;3;14000,0;10500,0;0,25;skarmeta, antonio;debolsillo;rustico;0,188;19,0;12,5;1,0;2025,0;212,0;LOS DIAS DEL ARCOIRISNico ve cómo se llevaban a su padre, el profesor, delante de toda la clase y recuerda que su misión principal es lograr que vuelva. Su enamorada, Patricia Be.ni, le acompaña en su soledad y, con un acto imaginativo, lleno de humor, abren el camino a la libertad en un país cercado por la dictadura y el silencio.Una novela de padres e hijos, maestros y discípulos que se las ingenian para devolver los colores y la música a una capital gris.Con la prosa delicada de Antonio Skármeta y la voz de Nico, la novela es una bella historia real de ilusión y esperanza en tiempos difíciles.AdquieraLOS DIAS DEL ARCOIRISen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257069-los-dias-del-arcoiris/;2025-08-24;237,5
el monje que vendio su ferrari;crecimiento personal;autoayuda;9;12000,0;9000,0;0,25;sharma, robin;debolsillo;rustico/bolsillo;0,182;20,0;13,0;1,5;2025,0;216,0;EL MONJE QUE VENDIO SU FERRARIEl monje que vendió su Ferrari es una fábula espiritual que, desde hace más de quince años, ha marcado la vida de millones de personas en todo el mundo.A través de sus páginas, conocemos la extraordinaria historia de Julian Mantle, un abogado de éxito que, tras sufrir un ataque al corazón, debe afrontar el gran vacío de su existencia. Inmerso en esta crisis existencial, Julian toma la radical decisión de vender todas sus pertenencias y viajar a la India. Es en un monasterio del Himalaya donde aprende las sabias y profundas lecciones de los monjes sobre la felicidad, el coraje, el equilibrio y la paz interior.Con esta historia tan especial e inolvidable, Robin Sharma nos enseña, paso a paso, una nueva manera de enfocar la vida personal, profesional y familiar. Nos muestra lo importante que es emprender un recorrido vital con una dirección clara, con pasión y armonía interior.AdquieraEL MONJE QUE VENDIO SU FERRARIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466374347-el-monje-que-vendio-su-ferrari/;2025-08-24;390,0
