titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;fecha_extraccion;volumen
cancion de navidad;clasicos universales;literatura clasicos universales;3;12000,0;9000,0;0,25;dickens, charles;penguin clasicos;tapa dura;0,21;20,0;13,0;1,0;2019,0;125,0;CANCION DE NAVIDADLa narrativa navideña de Charles Dickens, una delicia de uno de los nombres propios de las letras inglesas, en edición conmemorativa por el centesimo septuagesimo quinto aniversario de su publicación.Traducción de Nuria Salinas VillarSin lugar a dudas, Ebenezer Scrooge es, junto a Oliver Twist, el personaje más celebre de Charles Dickens. La vista de los fantasmas del pasado, el presente y el futuro de este viejo avaro y codicioso que “extorsionaba, tergiversaba, usurpaba, rebañaba y arrebataba” se ha convertido en todo un mito profundamente arraigado de la Navidad. El encanto imperecedero de la historia de Scrooge, se halla en una reivindicación social al más puro estilo dickensiano con tintes de humor y una profunda comprensión de la naturaleza humana.AdquieraCANCION DE NAVIDADen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491053767-cancion-de-navidad/;2025-08-24;260,0
buscando a alaska;novela juvenil;libros juveniles;29;13000,0;9750,0;0,25;green, john;debolsillo;rustico/bolsillo;0,2;19,0;12,5;1,6;2017,0;255,0;BUSCANDO A ALASKABuscando a Alaska es la novela debut de John Green, autor de Bajo la misma estrella. Antes: Miles ve cómo su vida transcurre sin emoción alguna. Su obsesión con memorizar las últimas palabras de personajes ilustres le lleva a querer encontrar su Gran Quizá (como dijo François Rabelais justo antes de morir). Decide mudarse a Culver Creek, un internado fuera de lo común, donde disfrutará por primera vez de la libertad y conocerá a Alaska Young. La preciosa, descarada, fascinante y autodestructiva Alaska arrastrará a Miles a su mundo, lo empujará hacia el Gran Quizá y le robará el corazón… Después: Nada volverá a ser lo mismo. Miles, un joven que busca su destino, y Alaska, una chica perdidaen el laberinto de la vida, se enfrenta a preguntas intemporales:¿Qué significado tiene nuestra existencia?¿Podemos llevar una vida plena tras vivir una tragedia sin resolver? La crítica ha dicho…«Hilarante, emotiva, inspiradora y absorbente.»Bookpage «El espíritu de Holden Caufield perdura.»Kliatt «Convincente… Lo que diferencia a esta novela es su brillante, perspicaz y atribulada, pero perdurable, voz.»Chicago TribuneAdquieraBUSCANDO A ALASKAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255201-buscando-a-alaska/;2025-08-24;380,0
romeo y julieta (bilingue);clasicos universales;literatura clasicos universales;11;13000,0;9750,0;0,25;shakespeare, william;penguin clasicos;rustico;0,2;19,0;12,5;1,0;2016,0;209,0;ROMEO Y JULIETA (BILINGUE)Edición de Josep María Jaumà, catedrático de la Universitat Autonoma de BarcelonaEl tiempo no ha cerrado las heridas de los Montesco y los Capuleto, dos familias de Verona enemistadas por antiguos pleitos cuyo origen ya casi nadie alcanza a recordar. Con el odio llegó la violencia, y con la violencia, las primeras víctimas inocentes. Pero del odio nació tambien el amor entre dos jóvenes predestinados a la desventura: Romeo y Julieta. La suya es una de las historias más populares de todos los tiempos, a la vez que su trágico desenlace se ha convertido en un hito de la literatura universal, “pues jamás hubo tan triste suceso como este de Julieta y de Romeo”.Presentada en la extraordinaria versión del traductor Josep Maria Jaumà, esta edición bilingüe se abre con la esclarecedora introducción de Adrian Poole, catedrático del Trinity College de Cambridge, quien nos acerca a este gran canto a la juventud, a la pasión, al amor y a los peligros insoslayables del odio.AdquieraROMEO Y JULIETA (BILINGUE)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491051701-romeo-y-julieta-bilingue/;2025-08-24;237,5
por quien doblan las campanas;contemporanea;literatura contemporanea;17;15000,0;11250,0;0,25;hemingway, ernest;debolsillo;rustico/bolsillo;0,47;19,0;12,5;1,0;2016,0;618,0;POR QUIEN DOBLAN LAS CAMPANASPor quién doblan las campanas es una de las novelas más populares del Premio Nobel de Literatura Ernest Hemingway. Ambientada en la guerra civil española, la obra es una bella historia de amor y muerte que se ha convertido en un clásico de nuestro tiempo.En los tupidos bosques de pinos de una región montañosa española, un grupo de milicianos se dispone a volar un puente esencial para la ofensiva republicana. La acción cortará las comunicaciones por carretera y evitará el contraataque de los sublevados.Robert Jordan, un joven voluntario de las Brigadas Internacionales, es el dinamitero experto que ha venido a España para llevar a cabo esta misión. En las montañas descubrirá los peligros y la intensa camaradería de la guerra. Y descubrirá también a María, una joven rescatada por los milicianos de manos de las fuerzas sublevadas de Franco, de la cual se enamorará enseguida.AdquieraPOR QUIEN DOBLAN LAS CAMPANASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788497935029-por-quien-doblan-las-campanas/;2025-08-24;237,5
madame bovary;clasicos universales;literatura clasicos universales;4;14000,0;10500,0;0,25;flaubert, gustave;penguin clasicos;rustico;0,35;19,0;12,5;1,0;2015,0;461,0;MADAME BOVARYLa novela más conocida de Gustave Flaubert y una de las grandes obras de la literatura universal nos acerca a la historia de Emma Rouault, una joven de origen campesino y huerfana de madre que contrae matrimonio con el medico Charles Bovary. El afán por ser la protagonista de una vida romántica presidida por el amor, ambición que su marido no puede satisfacer, será la perdición de la ingenua muchacha, que buscará por todos los medios, con aventuras y con amantes, escapar al tedio, la monotonía y la exasperación que se han apoderado de su vida.La presente edición, en reciente traducción de Mauro Armiño, incluye los fragmentos, descubiertos entre los manuscritos de Flaubert, que el autor decidió a última hora no incluir en la novela. Completan el volumen un estudio introductorio de Jacques Neefs, de la Johns Hopkins University, y una cronología flaubertiana.AdquieraMADAME BOVARYen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491050667-madame-bovary/;2025-08-24;237,5
fabulas;clasicos universales;literatura clasicos universales;4;13000,0;9750,0;0,25;esopo;penguin clasicos;rustico;0,23;19,0;12,5;1,0;2015,0;273,0;FABULASEl nombre de Esopo se utiliza para abarcar una larga tradición de fábulas que configuran de algún modo el origen del imaginario moral de la cultura europea. El presente volumen recoge todas las fábulas de tradición esópica que, aunque variada procedencia, fueron concebidas en griego. Protagonizados generalmente por animales, estos pequeños y memorables cuentos -que Sócrates se sabía de memoria- nos muestran, hoy como ayer, las tensiones, las miserias, el esplendor, la felicidad y el miedo del alma humana. De ello son buenos ejemplos las célebres fábulas de la liebre y la tortuga, la zorra y las uvas o el pastorcillo mentiroso, pequeños relatos de origen popular de los cuales se extrae siempre una moraleja.La reciente y brillante traducción de Júlia Sabaté y la introducción de Robert Temple ayudan a iluminar la vieja sabiduría que sigue respirándose en las páginas de algunos de los cuentos más célebres de la historia de la literatura.AdquieraFABULASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588925134-fabulas/;2025-08-24;237,5
despues de ti;novela romantica;literatura novela romantica;2;14000,0;10500,0;0,25;moyes, jojo;debolsillo;rustico/bolsillo;0,372;19,0;12,5;1,0;2020,0;496,0;DESPUES DE TI¿Por qué ha terminado trabajando en el pub irlandés de un aeropuerto donde cada día tiene que ver cómo otras personas se van de viaje a conocer sitios nuevos? ¿Por qué a pesar de que ya lleva meses viviendo en su apartamento aún no se siente en casa? ¿Le perdonará su familia lo que hizo hace año y medio? ¿Y superará alguna vez la despedida del amor de su vida? Lo único que Lou sabe con certeza es que algo ha de cambiar.AdquieraDESPUES DE TIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789877254105-despues-de-ti/;2025-08-24;237,5
el decameron;clasicos universales;literatura clasicos universales;4;18000,0;13500,0;0,25;boccaccio, giovanni;penguin clasicos;rustico;0,62;19,0;12,5;5,0;2018,0;799,0;EL DECAMERONGiovanni Boccaccio logró con el Decamerón, en palabras del premio Nobel Hermann Hesse, «la primera gran obra maestra de la narrativa europea». Titulado así por la palabra griega que designa «diez jornadas», es sin duda uno de los grandes monumentos de la literatura universal. Siete damas y tres jóvenes se retiran a una villa situada a las afueras de Florencia huyendo de la peste de 1348. Allí permanecen diez días con sus diez noches y, para distraerse, cada uno de ellos debe hacerse cargo de una jornada completa de entretenimiento. La actividad principal es la narración de cuentos de amor y muerte y engaño, protagonizados por clérigos lascivos, reyes locos, amantes taimados y milagreros farsantes, entre otros personajes.   Recomendado del librero.   El Decamerón. Por Giovanni Boccaccio. Edición  de bolsillo. Este es un  clásico  eterno.  Los relatos de Boccaccio, retratan toda una época: aquí hay damas galantes y lujuriosas, clérigos lascivos, reyes locos, amantes taimados, milagreros farsantes y glotones insaciables. Esta obra es un monumento de la literatura y una lectura regocijante.AdquieraEL DECAMERONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588925912-el-decameron/;2025-08-24;1187,5
auto de fe : obra completa 2;clasicos universales;literatura clasicos universales;3;17000,0;12750,0;0,25;canetti, elias;debolsillo;rustico/bolsillo;0,405;19,0;12,5;3,0;2022,0;620,0;AUTO DE FE : OBRA COMPLETA 2A través de la historia de Peter Kien, un especialista en China  internacionalmente conocido, propietario de una biblioteca de 25.0 00 volúmenes de la que se ocupa él mismo, Canetti habla de los peligros  de considerar que un intelectualismo rígido y dogmático, encerrado en sí mismo, pueda prevalecer sobre el mal, el caos y la  destrucción. Así, el protagonista de Auto de fe, después de soñar que sus libros eran quemados, se casa con su asistenta, Teresa, una  mujer iletrada y embrutecida, que habrá de ayudarle en la tarea de preservar su biblioteca. Pero Teresa le echa de su casa y Kien, convertido en un mendigo, vaga por el submundo de la ciudad, con su espíritu fluctuando entre horribles alucinaciones y una  realidad inenarrable. Su desintegración final le llevará, en una acción que cierra el ciclo de su sueño premonitorio, a quemar su  biblioteca y esperar allí la muerte, en medio del incendio. Con Auto de fe continuamos con la edición de la obra completa de Canetti, dirigida por Juan José del Solar. «Salvaje, sutil, hermosamente misteriosa. Una de las pocas grandes novelas del siglo.» IRIS MURDOCHAdquieraAUTO DE FE : OBRA COMPLETA 2en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788497936781-auto-de-fe-obra-completa-2/;2025-08-24;712,5
me visto me maquillo me desvisto;peluqueria y estetica;tecnologia;2;10000,0;9000,0;0,1;torres / suzarte / jane;aguilar;rustico;0,3;23,0;15,0;1,0;2015,0;144,0;ME VISTO ME MAQUILLO ME DESVISTOTres profesionales se unieron para entregar sus secretos en este libro  que puede cambiar la vida de cualquier mujer. Una asesora de imagen, una  maquilladora y una experta en sexualidad, enseñan cómo sacarte el mejor  partido. Qué meter en tu clóset, cómo embellecer su rostro y como potenciar tu erotismo.AdquieraME VISTO ME MAQUILLO ME DESVISTOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563478082-me-visto-me-maquillo-me-desvisto/;2025-08-24;345,0
eragon;narrativa fantastica;libros juveniles;4;17000,0;12750,0;0,25;paolini, christopher;rocabolsillo;rustico/bolsillo;0,5;19,0;12,5;3,0;2022,0;648,0;ERAGONEn el reino legendario de Alagaësia la guerra se está gestando. Los Jinetes protectores de la paz del Imperio y los únicos capaces de controlar a los inteligentes dragones, se han extinguido o han pasado a formar parte de las tropas del malvado rey Galbatorix. Los elfos hace tiempo que se han exiliado a un lugar oculto y los vardenos, un grupo disidente, se ocultan en ciudades protegidas. Cuando Eragon, un joven de 15 años que vive en una pequeña aldea, se encuentra con una piedra preciosa en medio del bosque a donde ha ido a cazar, poco se espera que ese suceso vaya a cambiar su vida y el destino de Alagaësia. Lo único que desea es venderla para así asegurar la subsistencia de su familia durante el duro invierno. Sin embargo, una noche la gema se rompe y lo que sale de ella lo llevará a un viaje que lo convertirá en heroe. ¿Podrá Eragon tomar la responsabilidad de los legendarios jinetes de dragones? La esperanza del Imperio descansa en sus manos..AdquieraERAGONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788418850424-eragon/;2025-08-24;712,5
tu yo y un tal vez;romanticos y de amor;libros juveniles;8;20900,0;14900,0;0,29;martinez, maria;crossbooks;rustico;0,56;22,5;14,5;1,0;2022,0;480,0;TU YO Y UN TAL VEZHay caminos destinados a encontrarse.¿Renunciarías a tu mundo por amor?¿Bastaría ese amor, si perdieras todo lo demás?Él ha crecido en un entorno en el que las tradiciones y unos valores anclados al pasado dictaminan su futuro.Ella se siente tan perdida que le cuesta recordar quién es.Él guarda un secreto que podría destruir el vínculo que lo une a su familia.Ella apenas cree en el amor y camina de puntillas por el mundo.Cuando una casualidad hace que los pasos de Jun y Daniela se crucen en las calles de Londres, no imaginan que sus vidas se acabarán uniendo.Encuentros fugaces que se convierten en comienzos.Porque hay huellas en la nieve que no se pueden borrar y amores imposibles que, tal vez, y solo tal vez, duren para siempre.AdquieraTU YO Y UN TAL VEZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566145240-tu-yo-y-un-tal-vez/;2025-08-24;326,25
el monje que vendio su ferrari;mente y espiritu;autoayuda;20;12000,0;9000,0;0,25;sharma, robin;debolsillo clave;rustico/bolsillo;0,18;19,0;12,5;1,5;2022,0;216,0;EL MONJE QUE VENDIO SU FERRARIEl monje que vendió su Ferrari es la sugerente y emotiva historia de Julian Mantle, un superabogado cuya vida estresante, desequilibrada y obsesionada con el dinero acaba provocándole un infarto. Ese desastre provoca en Julian una crisis espiritual que lo lleva a enfrentarse a las grandes cuestiones de la vida. Esperando descubrir los secretos de la felicidad y el esclarecimiento, emprende un extraordinario viaje por el Himalaya para conocer una antiquísima cultura de hombres sabios. Y allí descubre un modo de vida más gozoso, así como un método que le permite liberar todo su potencial y vivir con pasión, determinación y paz. Escrito a modo de fábula, este libro contiene una serie de sencillas y eficaces lecciones para mejorar nuestra manera de vivir. Vigorosa fusión de la sabiduría espiritual de Oriente con los principios del éxito occidentales, muestra paso a paso cómo vivir con más coraje, alegría, equilibrio y satisfacción.AdquieraEL MONJE QUE VENDIO SU FERRARIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255225-el-monje-que-vendio-su-ferrari/;2025-08-24;356,25
el pistolero : la torre oscura i;narrativa fantastica;literatura narrativa fantastica;2;12000,0;9000,0;0,25;king, stephen;debolsillo;rustico/bolsillo;0,22;19,0;12,5;1,0;2016,0;286,0;EL PISTOLERO : LA TORRE OSCURA IEn un mundo extrañamente parecido al nuestro Roland Deschain de Gilead persigue a su enemigo, el hombre de negro. Roland, solitario, quizá maldito, anda sin descanso a través de un paisaje triste y abandonado. Conoce a Jake, un chico de Nueva York pero de otro tiempo, y ambos unen sus destinos. Ante ellos están las montañas. Y mucho más allá, la Torre Oscura…AdquieraEL PISTOLERO : LA TORRE OSCURA Ien nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466341295-el-pistolero-la-torre-oscura-i/;2025-08-24;237,5
la cruz ardiente;novela romantica;literatura novela romantica;15;21000,0;15750,0;0,25;gabaldon, diana;salamandra;rustico;1,29;22,0;14,0;1,0;2022,0;1328,0;LA CRUZ ARDIENTEDividida entre salvar a su marido de los peligros que se avecinan, o por el contrario contribuir a provocar el estallido de la violencia entre la Corona inglesa y las trece colonias norteamericanas, Claire vive otra vez el dilema de quien, aun conociendo los acontecimientos del futuro, tiene que adaptarse a su vida del presente. Nacida en 1918 en Inglaterra, Claire Randall sirvió como enfermera en la Segunda Guerra Mundial.Terminado el conflicto, un extraordinario viaje en el tiempo la trasladó a las Tierras Altas escocesas en 1743, y pese a haberse convertido en esposa de Jamie Fraser, y más tarde en madre y cirujana, Claire continúa sintiéndose extranjera, fuera de su lugar y de su tiempo.AdquieraLA CRUZ ARDIENTEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789878000237-la-cruz-ardiente/;2025-08-24;308,0
en el corazon de la isla de fuego;novela romantica;literatura novela romantica;3;15000,0;11250,0;0,25;vasseler, nicole;ediciones b;rustico;0,54;21,5;14,0;1,0;2016,0;557,0;EN EL CORAZON DE LA ISLA DE FUEGOÁmsterdam, 1882. En el barco de Ámsterdam a Batavia, antigua Indonesia, dos mujeres muy distintas traban una bonita amistad: Jacobina, hija de buena familia, y Floortje, una chica enérgica de origen humilde. Ambas sueñan con la felicidad y quieren dejarse embriagar por la belleza del trópico, que imaginan como el paraíso.Sin embargo, poco a poco el Jardín del Edén revela sus profundidades, el volcán Krakatoa -hasta entonces tan pacífico- entra en erupción, y para sobrevivir las dos amigas deben librar una batalla a vida o muerte…AdquieraEN EL CORAZON DE LA ISLA DE FUEGOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788490701881-en-el-corazon-de-la-isla-de-fuego/;2025-08-24;301,0
la virgen de los sicarios;novela negra;literatura novela negra;3;12000,0;9000,0;0,25;vallejo, fernando;debolsillo;rustico/bolsillo;0,11;19,0;13,0;1,0;2016,0;144,0;LA VIRGEN DE LOS SICARIOSEn el resquebrajamiento de una sociedad que ha cortado con sus valores y su pasado, en que los asesinos contratados o sicarios son niños, y en que la impunidad es la norma y la violencia el aire que se respira, por las atestadas calles de Medellín, entre una multitud maldiciente de desempleados y mendigos, de ladrones y atracadores, vendedores ambulantes y fumadores de bazuco, van el narrador loco o lúcido y su amante, un adolescente asesino, tratando de ponerle remedio por las malas a lo que no lo tiene. Cuando ya no queda sino rezar y rociar con agua bendita las balas, la iglesita perdida de María Auxiliadora en el pueblo de Sabaneta se vuelve un santuario de peregrinación de los sicarios y a la vez una referencia para las páginas alucinadas de esta novela. «La Virgen de los sicarios es el más bello y delirante canto de amor y de perdición que nos ha dado desde hace mucho la literatura».AdquieraLA VIRGEN DE LOS SICARIOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588940311-la-virgen-de-los-sicarios/;2025-08-24;247,0
el mago de oz;clasicos universales;literatura clasicos universales;2;13000,0;9750,0;0,25;baum, lyman frank;debolsillo;rustico/bolsillo;0,255;19,0;12,5;1,0;2012,0;256,0;EL MAGO DE OZ«L. Frank Baum ha llenado nuestro siglo, de principio a fin, de ingenuos  gozos e insospechados deleites.» Ray Bradbury Arrancada d e su hogar en Kansas por un tornado, la pequeña Dorothy aterriza en un  lugar desconocido junto a su perro Toto. La única persona c apaz de devolverla a casa es el Mago de Oz, que vive en la Ciudad  Esmeralda. Así empieza la travesía de Dorothy por un país maravi lloso, una aventura plagada de obstáculos y peligros en la que contará  con inestimables aliados: un espantapájaros sin cerebro, un  león sin coraje y un hombre de hojalata sin corazón. Ciento once años  después de su publicación original, y al medio siglo de su primera edición de bolsillo, restauramos el esplendor de El Mago de Oz  con un prólogo iluminador y las ilustraciones que la han ac ompañado desde sus inicios. L. Frank Baum (1856-1919) es probablemente  el creador del primer cuento de hadas genuinamente estadoun idense, El Mago de Oz, que ha marcado el compás de las lecturas  incipientes a decenas de generaciones de lectores. Prólogo de Jame s Thurber Ilustraciones de W. W. Denslow Traducción de Herminia DauerAdquieraEL MAGO DE OZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788499893877-el-mago-de-oz/;2025-08-24;237,5
club de las 5 de la manana, el;autoayuda;autoayuda;40;12000,0;9000,0;0,25;sharma, robin;debolsillo;rustico;0,35;19,0;12,5;1,0;2021,0;400,0;CLUB DE LAS 5 DE LA MAÑANA, ELRobin Sharma es uno de los mayores expertos mundiales en liderazgo y desempeño. Desarrolló el concepto del Club de las 5 de la mañana hace más de veinte años a partir de los revolucionarios hábitos que han permitido a sus clientes incrementar su productividad, mejorar su salud y afrontar con serenidad la extremadamente compleja época en que vivimos. Este libro, de profundo impacto personal, nos descubrirá las rutinas que han hecho posible que muchas personas alcancen grandes resultados al tiempo que nuestra felicidad y vitalidad aumenta. A través de una entretenida historia de dos personas que conocen al mismo tiempo a un excéntrico magnate que termina por convertirse en su mentor, El Club de las 5 de la mañana nos muestra: – Una forma de aprovechar las mañanas para conseguir unos resultados extraordinarios. – Una fórmula poco conocida para despertarse temprano con buen ánimo y la energía necesaria para aprovechar el día al máximo. – Un método para dedicar las horas más tranquilas del día a hacer ejercicio, renovarse y crecer como persona. – Un hábito científicamente probado que nos permitirá levantarnos mientras los demás siguen durmiendo y disponer así de unas horas preciosas para pensar, potenciar nuestra creatividad y empezar el día con calma y sin prisas. – Unas tácticas poco conocidas para proteger nuestro talento de la distracción digital.AdquieraCLUB DE LAS 5 DE LA MAÑANA, ELen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563254990-club-de-las-5-de-la-manana-el/;2025-08-24;237,5
escrito con la sangre de mi corazon;novela romantica;literatura novela romantica;5;20000,0;15000,0;0,25;gabaldon, diana;salamandra;rustico;1,115;22,0;14,0;5,0;2020,0;1168,0;ESCRITO CON LA SANGRE DE MI CORAZONJunio de 1778. El orden del mundo parece haber sido profundamente trastocado. El ejército inglés se retira de Filadelfia perseguido por George Washington, y por primera vez desde el inicio de la contienda da la impresión de que los rebeldes pueden ganar. En ese entorno tumultuoso, Claire y su familia deben afrontar múltiples trastornos y dificultades. El anterior marido de Claire, Jamie, al que se daba por muerto, ha regresado y le exige una explicación de por qué, en su ausencia, se casó con su mejor amigo, lord John Grey. El hijo de éste, el noveno conde de Ellesmere, descubre con igual estupefacción que su verdadero padre es el resucitado Jamie Fraser, y el sobrino de Jamie, Ian Murray, se entera de que su recién descubierto primo se ha enamorado de la mujer con la que él pretende casarse. Mientras Claire vive con el miedo de que uno de sus maridos mate al otro en cualquier momento, sus descendientes en el siglo xx tienen que enfrentarse a unos acontecimientos aún más apremiantes, pues a su hija Brianna la acosa un implacable criminal después de que su marido, Roger, haya desaparecido en el tiempo.AdquieraESCRITO CON LA SANGRE DE MI CORAZONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789878000480-escrito-con-la-sangre-de-mi-corazon/;2025-08-24;1540,0
el grito de la tierra;ficcion;literatura ficcion;3;16000,0;12000,0;0,25;lark, sarah;ediciones b;rustico;0,68;21,5;14,0;4,5;2014,0;736,0;EL GRITO DE LA TIERRALa tercera entrega de la serie “Nube blanca”.Nueva Zelanda, 1907. La infancia de Gloria, bisnieta de Gwyneira, termina abruptamente cuando es enviada junto a su prima Lilian a un colegia en Gran Bretaña. Una vez allí, Lilian encaja en las costumbres que impone en Viejo Mundo, pero Gloria quiere volver a toda costa a la tierra que la vio nacer, en el extremo opuesto del mundo. Y es ese profundo sentimiento el que la empuja a coger las riendas de su vida e idear un atrevido plan que marcará su destino para siempre.El grito de la tierra cierra la trilogía que comenzó con En el país de la nube blanca y siguió con La canción de los maoríes. Con esta inolvidable saga familiar ambientada en Nueva Zelanda, la escritora alemana Sarah Lark ha cautivado a ocho millones de lectores en todo el mundo. El resultado es una epopeya literaria tan emotiva como fascinante que nos lleva a la tierra donde viven los sueños.AdquieraEL GRITO DE LA TIERRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788498729122-el-grito-de-la-tierra/;2025-08-24;1354,5
dante;novela historica;literatura novela historica;8;21000,0;12600,0;0,4;strukul, matteo;ediciones b;rustico;0,454;23,0;15,0;1,0;2022,0;400,0;DANTEFlorencia en 1288 está en manos del líder guelfo Corso Donati, que está sediento de la sangre de sus enemigos. En este escenario oscuro y convulso vive Dante Alighieri, un joven valiente, enamorado del amor, la poesía y el arte, pero también comprometido con las luchas políticas que asolan la región. Así, cuando el deber le llame a participar en la decisiva batalla de Campaldino, no le quedará más remedio que demostrar su coraje y afrontar su propio destino en una lucha que marcar el curso de la historia de Italia y dejar una profunda huella en el corazón y en la vida del poeta. Las pesadillas que sufre como consecuencia de la barbarie y el amor verdadero que siente por Beatriz serán las bases sobre las que comenzar a construir su obra magna, La divina comedia.AdquieraDANTEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789877803327-dante/;2025-08-24;345,0
adri tiene miedo a la oscuridad (bruna y bruno 1);educacion social y personal;libros infantiles;5;13000,0;7800,0;0,4;dami, elisabetta;beascoa ediciones;rustico;0,191;22,0;22,0;1,0;2022,0;48,0;ADRI TIENE MIEDO A LA OSCURIDAD (BRUNA Y BRUNO 1)La familia Osítez vive en el Valle de la Felicidad, un lugar de encanto. Papá Osítez es guarda bosques, mamá Osítez trabaja fabricando miel con sus amigas las abejas. Tienen tres hijos: Bruna, una niña amigable, intrépida y valiente, y Bruno, un niño listo, sensato y leal, y un pequeño al que sus hermanos mayores cuidan y quieren. El pequeño Adri no quiere ir de excursión al bosque con sus amigos porque le da miedo la oscuridad. Con ayuda de Bruno y Bruna, Adri descubre que la oscuridad no es tan terrible y que tener miedo es algo común. Un libro para vencer el miedo a lo desconocido y valorar la amistad con Bruna y Bruno, los nuevos personajes infantiles que encantarán a toda la familia. Además, incluye actividades y juegos para complementar la lectura.AdquieraADRI TIENE MIEDO A LA OSCURIDAD (BRUNA Y BRUNO 1)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789878443669-adri-tiene-miedo-a-la-oscuridad-bruna-y-bruno-1/;2025-08-24;484,0
