titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
comer para vencer la depresion y la ansiedad;salud y dietas;hogar y familia;4;19900,0;15900,0;0,2;ramsey, dr. drew;paidos;rustico;0,523;24,0;16,0;1,0;2022,0;312,0;COMER PARA VENCER LA DEPRESION Y LA ANSIEDADCuida tu alimentación para cuidar de tu salud mental.Los trastornos de depresión y ansiedad están aumentando y afectan a millones de personas en todo el mundo. Muchos dependen de la terapia y los medicamentos para aliviar los síntomas, pero, a menudo, eso no es suficiente. Con los últimos avances científicos en neurociencia, nutrición y la conexión mente-intestino, se ha descubierto que lo que comemos afecta en gran medida en cómo nos sentimos física, cognitiva y emocionalmente.Nuestros cerebros consumen el veinte por ciento de todo lo que comemos. Y cuando el cerebro se ve privado de nutrientes esenciales, sufrimos. En este innovador libro, el Dr. Drew Ramsey nos ayuda a emprender el camino hacia una mayor salud mental a través de la alimentación. Comer para vencer la depresión y la ansiedad analiza la nueva ciencia de la psiquiatría nutricional y explica qué debemos comer para lograr un impacto positivo en la salud del cerebro y mejorar nuestro bienestar mental.En este libro, el Dr. Ramsey expone las investigaciones más recientes e innovadoras sobre la nutrición y el cerebro. Nos explica la importancia de mejorar la salud de las células cerebrales (neuroplasticidad), reducir la inflamación y cultivar una microbiota saludable, así como el poder de los alimentos antiinflamatorios que alimentan el intestino y las doce vitaminas y minerales esenciales más importantes para el cerebro y el cuerpo.Por último, Ramsey nos proporciona un plan de alimentación para la depresión y la ansiedad de seis semanas que incorpora categorías clave de alimentos, como verduras de hoja verde y mariscos, junto con recetas sencillas, deliciosas y nutritivas para cuidar de nuestra salud mental.Comer para vencer la depresión y la ansiedades un libro imprescindible para todos aquellos que quieran mejorar su estado de ánimo y la nutrición de sus cerebros.AdquieraCOMER PARA VENCER LA DEPRESION Y LA ANSIEDADen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339486-comer-para-vencer-la-depresion-y-la-ansiedad/;384,0
todos los cuerpos;feminismo y mujer;ciencias sociales;3;33500,0;26800,0;0,2;laing, olivia;paidos;rustico;0,536;21,0;14,0;1,0;2022,0;384,0;TODOS LOS CUERPOSOlivia Laing, autora bestseller de La ciudad solitaria, nos ofrece en este nuevo ensayo un análisis del cuerpo y sus insatisfacciones a través de los grandes movimientos por la libertad del siglo XX.El cuerpo es una fuente de placer y de dolor, a su vez vulnerable y rebosante de poder. En este ambicioso ensayo, Olivia Laing emprende un apasionante viaje a través de las luchas históricas por las libertades del cuerpo y utiliza como punto de partida la vida del psicoanalista renegado Wilhelm Reich para explorar desde los derechos LGTBIQ+ y la liberación sexual, hasta los movimientos feministas y por los derechos civiles.Basándose en sus propias experiencias, y viajando desde el Berlín de la década de 1920 hasta las prisiones de la era McCarthy en Estados Unidos, Laing se enfrenta a algunas de las figuras más importantes y complicadas del siglo pasado, entre las que destacan Nina Simone, Christopher Isherwood, Andrea Dworkin, Sigmund Freud, Susan Sontag y Malcolm X.A pesar de sus muchas cargas, el cuerpo sigue siendo una fuente de energía, incluso en una era tan tecnificada y automatizada como la nuestra. Llegando a un momento en el que los derechos corporales básicos están nuevamente en peligro, Laing propone una investigación sobre las fuerzas dispuestas contra la libertad y una celebración de cómo los cuerpos humanos comunes pueden resistir la opresión y remodelar el mundo.AdquieraTODOS LOS CUERPOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339271-todos-los-cuerpos/;294,0
lecciones de un siglo de vida;ciencias humanas y sociales;ciencias sociales;1;23900,0;19100,0;0,2;morin, edgar;paidos;rustico;0,222;23,0;16,0;1,0;2022,0;120,0;LECCIONES DE UN SIGLO DE VIDAEste es el libro para celebrar el centenario del gran filósofo francés Edgar Morin: Lecciones de un siglo de vida es un texto inspirador y revitalizante, pero también lúcido y revelador, escrito por uno de los pensadores más importantes e inclasificables de nuestro tiempo.Edgar Morin comparte su experiencia de 100 años, sin ocultar sus errores, sus dudas, sus lamentos, y nunca descuida sus fuentes de alegría, su entusiasmo por la vida y sus descubrimientos. A partir de sus propias aventuras, nos ayuda a reconectar con nosotros mismos y a encontrar el significado de aquello a lo que enfrentamos.En este libro conocemos al hombre, al resistente, al socio, al pensador, al padre que ha sido, y aprendemos más sobre su filosofía, las obras que ha escrito y las que han influido notablemente en su personalidad, su punto de vista sobre el mundo, la humanidad, nuestra tierra y la política.Sin embargo, Lecciones de un siglo de vida tiene un alcance mucho más amplio que la vida y el pensamiento de Edgar Morin, ya que representa un testimonio de primera mano sobre el siglo XX: sus horrores, sus utopías fallidas, sus revoluciones.Gracias a su humanismo, universalismo y benevolencia, Edgar Morin se vuelve hacia el pasado para hablarnos del presente e incluso del futuro: evoca nuevos retos—y riesgos—que debemos afrontar y, sobre todo, nos cuenta cómo podemos aprovechar nuestra experiencia para abrazar lo que está por venir. A través de su conmovedor relato y los aforismos finales que iluminan nuestro camino, Edgar Morin cumple su promesa: compartir las lecciones que su vida le ha dado.AdquieraLECCIONES DE UN SIGLO DE VIDAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339318-lecciones-de-un-siglo-de-vida-2/;368,0
la vida en la roma antigua;historia universal;historia;5;24900,0;19900,0;0,2;grimal, pierre;paidos;rustico;0,238;23,0;15,5;1,0;2022,0;144,0;"LA VIDA EN LA ROMA ANTIGUAEn esta breve y elocuente obra, Pierre Grimal mezcla sabiamente la «gran historia» de Roma (sus guerras y sus conquistas) con la historia de la vida privada de los ciudadanos romanos; cómo fueron evolucionando las antiguas creencias y el ideal de ciudad, sobre todo a partir de la conquista romana de Grecia. Hasta el punto en que, según Grimal, «el mundo se modificó el día en que los griegos enseñaron a sus conquistadores el arte de cenar mejor».AdquieraLA VIDA EN LA ROMA ANTIGUAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788449339332-la-vida-en-la-roma-antigua/;356,5
la torre eiffel;historia del arte;arte y diseno;3;28900,0;23100,0;0,2;barthes, roland;paidos;rustico;0,302;21,0;14,0;1,0;2022,0;208,0;"LA TORRE EIFFELLas relaciones entre la escritura de Roland Barthes y el universo de la imagen fueron siempre tan constantes como complejas, por lo que dieron lugar simultáneamente a libros sobre temas generales, concebidos desde una perspectiva sistemática, y a textos más breves y concretos, en torno a asuntos mucho más específicos.En lo que se refiere a estos últimos, Barthes sustituyó su habitual minuciosidad metodológica por un enfoque hasta tal punto intransferible y personal que acabaron convirtiéndose en piezas literarias de primer orden, en pequeñas obras maestras del ensayo. Pero lo más importante es que, tomados en su conjunto, esos escritos constituyen por sí mismos una pequeña historia abreviada de la imagen en todas sus manifestaciones.Este volumen presenta una selección de textos inéditos en castellano realizada a partir de las obras completas de su autor, por lo que incluyen desde un breve libro La torre Eiffel hasta artículos periodísticos, desde reseñas aparecidas en revistas cinematográficas hasta análisis elaborados para publicaciones especializadas en arte o literatura. Los temas abarcan igualmente múltiples aspectos de la cuestión, trátese de las relaciones entre pintura, fotografía y escritura; de la diferencia entre lenguaje y expresión cinematográficos; de lo que separa a la comunicación de la significación, la conceptualización y la simbolización; o de cómo los gestos publicitarios se deslizan en nuestra vida.Todo ello ilustrado con una ojeada crítica a figuras tan importantes y variopintas de la cultura moderna como Robert Bresson, Guido Crepax, el marqués de Sade, Richard Avedon, Henri Matisse o Michelangelo o Antonioni. Y, por supuesto, desde la peculiar perspectiva barthesiana, capaz de definir la torre Eiffel parafraseando el título de uno de sus más famosos libros como «el grado cero del monumento».AdquieraLA TORRE EIFFELen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788449339363-la-torre-eiffel/;294,0
apocalipsis cognitivo : como nos manipulan el cerebro en la era digital;sociologia;ciencias sociales;4;31900,0;25500,0;0,2;bronner, gerald;paidos;rustico;0,556;23,0;15,5;1,7;2022,0;320,0;APOCALIPSIS COGNITIVO : COMO NOS MANIPULAN EL CEREBRO EN LA ERA DIGITALApocalipsis cognitivo, bestseller en Francia con más de 40.000 ejemplares vendidos, trata sobre cómo la sobreexposición de nuestro cerebro a las pantallas podría conducirnos a un punto de inflexión en la historia de la civilización.Del sociólogo y especialista en uso de las tecnologías Gérald Bronner, trata sobre cómo la sobreexposición de nuestro cerebro a las pantallas podría conducirnos a un punto de inflexión en la historia de la civilización.Vivimos un momento sin precedentes. Nunca en la historia de la humanidad hemos tenido tanta información y nunca hemos tenido tanto tiempo libre para dedicarlo al ocio y al conocimiento del mundo. Nuestros predecesores soñaron que algún día la ciencia y la tecnología liberarían a la humanidad. Sin embargo, este sueño ahora corre el riesgo de convertirse en una pesadilla.La avalancha de información a la que estamos expuestos en las redes ha generado una competencia generalizada de todas las ideas, una desregulación del “mercado cognitivo” con un resultado lamentable: capturar, a menudo para peor, el precioso tesoro de nuestra atención. Nuestras mentes sufren el hechizo de las pantallas y se rinden a las mil caras de la sinrazón. Víctima de un saqueo en toda regla, nuestra mente está en juego y de ello depende nuestro futuro.En este inquietante contexto se nos revelan algunas de las aspiraciones más profundas de la humanidad. ¿Ha llegado el momento de enfrentarnos a nuestra propia naturaleza? ¿Podremos escapar de esta amenaza a la civilización? Bronner analiza desde todas las perspectivas esta situación y nos propone reconstruir las condiciones sociales necesarias y fomentar la mejor parte de nosotros mismos.AdquieraAPOCALIPSIS COGNITIVO : COMO NOS MANIPULAN EL CEREBRO EN LA ERA DIGITALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339356-apocalipsis-cognitivo-como-nos-manipulan-el-cerebro-en-la-era-digital/;606,05
el sistema de la moda;sociologia;ciencias sociales;9;37900,0;30300,0;0,2;barthes, roland;paidos;rustico;0,6;21,0;13,5;2,5;2022,0;448,0;EL SISTEMA DE LA MODAImprevisible y sin embargo regular, siempre nueva a la vez que inteligible, la moda no deja de interesar a psicólogos, sociólogos y estetas. En este libro, sin embargo, Roland Barthes la cuestiona desde un punto de vista distinto: considerándola a través de las descripciones de la prensa, descubre en ella un sistema de significaciones y la somete por primera vez a un verdadero análisis semántico. ¿Cómo los hombres y las mujeres pueden crear sentido a través de sus vestimentas?Al intentar responder a esta pregunta, el autor se encuentra con una de las preocupaciones básicas de la antropología, sobre todo la de los años sesenta y setenta, cuando estos trabajos se convirtieron en clásicos: la extensión del análisis lingüístico al conjunto de los fenómenos culturales. Pero, a la vez, Barthes también cuestiona el modo en que nuestra sociedad asume o elude la arbitrariedad de los sentidos que elabora, por lo que este libro sobre la moda es también un libro sobre los signos sociales que la hacen posible.AdquieraEL SISTEMA DE LA MODAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339370-el-sistema-de-la-moda/;708,75
respondona : pensamiento feminista, pensamiento negro;feminismo y mujer;ciencias sociales;6;32900,0;26300,0;0,2;hooks, bell;paidos;rustico;0,52;23,0;16,0;1,6;2022,0;304,0;RESPONDONA : PENSAMIENTO FEMINISTA, PENSAMIENTO NEGROTras la buena acogida de Todo sobre el amor de bell hooks, una de las voces del feminismo más relevantes de la actualidad, publicamos Respondona, en el que explora el significado de la conciencia feminista en la vida diaria y el punto donde lo público y lo privado se encuentran.Respondona trata sobre el significado de la conciencia feminista en la vida diaria, la recuperación personal, la superación de la supremacía blanca y masculina, las relaciones íntimas y, todo ello, explorando el punto donde lo público y lo privado se encuentran.Cuando era niña, bell hooks aprendió que dirigirse de igual a igual a una figura de autoridad y atreverse a estar en desacuerdo o a dar una opinión significaba ser «respondona». En esta colección de ensayos tan personales como teóricos, hooks reflexiona sobre sus temas clásicos: racismo, feminismo, política y pedagogía. Una de las cosas que descubre es que, para los oprimidos, los colonizados, los explotados y los que se levantan y luchan mano a mano, pasar del silencio a alzar la voz es un gesto de desafío que cura y que hace posible una vida y un crecimiento nuevos.AdquieraRESPONDONA : PENSAMIENTO FEMINISTA, PENSAMIENTO NEGROen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339400-respondona-pensamiento-feminista-pensamiento-negro/;588,8000000000001
ciudadelas de la soberbia: agresion sexual, responsabilizacion y reconciliacion;filosofia;filosofia;6;33500,0;26800,0;0,2;nussbaum, martha c.;paidos;rustico;0,59;23,0;16,0;2,0;2022,0;392,0;"CIUDADELAS DE LA SOBERBIA: AGRESION SEXUAL, RESPONSABILIZACION Y RECONCILIACION«Martha C. Nussbaum, una de las más célebres filósofas morales del mundo, nos ofrece una reflexión original y urgente sobre la cultura de violencia y abuso sexual hacia las mujeres en nuestra sociedad.Martha C. Nussbaum, una de las más célebres filósofas morales del mundo, nos ofrece una reflexión original y urgente sobre la violencia sexual.Martha C. Nussbaum, reconocida por su elocuencia y clara visión moral, muestra cómo el abuso y el acoso sexual derivan del uso de las personas como cosas en beneficio propio; al igual que otras formas de explotación, están arraigadas en el desagradable sentimiento de orgullo. Así, la autora denuncia la existencia de tres «Ciudadelas de la soberbia» desde cuya cúspide los hombres todavía acaparan todo el poder: el poder judicial, las artes y los deportes.En Ciudadelas de la soberbia, Nussbaum analiza cómo dicho orgullo perpetúa el abuso sexual sistémico, el narcisismo y la masculinidad tóxica. El coraje de muchos ha provocado algunas reformas, pero la justicia sigue siendo esquiva, pervertida a veces por el dinero, el poder o la inercia; y también por un deseo colectivo de venganza.Al analizar los efectos de la ley y las políticas públicas en la definición de violencia sexual, Nussbaum aclara cómo las brechas en las leyes permiten, en muchas ocasiones, que esta violencia prolifere y de qué manera dichas fisuras deben complementarse con una comprensión de las emociones distorsionadas que generan el abuso; y por qué la ira y la venganza rara vez logran un cambio duradero.Ciudadelas de la soberbia ofrece una acusación condenatoria de la cultura del poder masculino que aísla a los abusadores poderosos de la responsabilidad. Sin embargo, Nussbaum ofrece un camino esperanzador a seguir, y visualiza un futuro en el que, a medida que las víctimas se movilizan para contar sus historias y las instituciones persiguen una reforma justa y matizada, podríamos reconocer plenamente la igual dignidad de todas las personas.AdquieraCIUDADELAS DE LA SOBERBIA: AGRESION SEXUAL, RESPONSABILIZACION Y RECONCILIACIONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788449339325-ciudadelas-de-la-soberbia-agresion-sexual-responsabilizacion-y-reconciliacion/;736,0
eragon;narrativa fantastica;libros juveniles;4;17000,0;12750,0;0,25;paolini, christopher;rocabolsillo;rustico/bolsillo;0,5;19,0;12,5;3,0;2022,0;648,0;ERAGONEn el reino legendario de Alagaësia la guerra se está gestando. Los Jinetes protectores de la paz del Imperio y los únicos capaces de controlar a los inteligentes dragones, se han extinguido o han pasado a formar parte de las tropas del malvado rey Galbatorix. Los elfos hace tiempo que se han exiliado a un lugar oculto y los vardenos, un grupo disidente, se ocultan en ciudades protegidas. Cuando Eragon, un joven de 15 años que vive en una pequeña aldea, se encuentra con una piedra preciosa en medio del bosque a donde ha ido a cazar, poco se espera que ese suceso vaya a cambiar su vida y el destino de Alagaësia. Lo único que desea es venderla para así asegurar la subsistencia de su familia durante el duro invierno. Sin embargo, una noche la gema se rompe y lo que sale de ella lo llevará a un viaje que lo convertirá en heroe. ¿Podrá Eragon tomar la responsabilidad de los legendarios jinetes de dragones? La esperanza del Imperio descansa en sus manos..AdquieraERAGONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788418850424-eragon/;712,5
enfermas;historia universal;historia;3;29900,0;23900,0;0,2;cleghorn, elinor;paidos;rustico;0,76;23,3;15,5;1,0;2022,0;512,0;ENFERMASLa historiadora Elinor Cleghorn nos presenta un recorrido fascinante y revelador por la historia de la medicina y la misoginia que ha acompañado al cuerpo de las mujeres durante siglos.Un repaso histórico de las primeras cuestiones médicas sobre las enfermedades de las mujeres, pasando por las hormonas y hasta las enfermedades autoinmunes, escrito en un estilo fascinante y cautivador que dará mucho que hablar sobre la salud femenina.Elinor Cleghorn enfermó hace diez años. Después de mucho tiempo oyendo que sus síntomas eran desde psicosomáticos hasta un posible embarazo, le diagnosticaron una enfermedad autoinmune. Mientras aprendía a convivir con su impredecible enfermedad, recurrió a la historia en busca de respuestas, y lo que encontró fue un indignante legado de sufrimiento, mistificación y diagnósticos erróneos.En Enfermas, Elinor Cleghorn repasa la increíble historia de cómo la medicina ha defraudado a las mujeres al tratar sus cuerpos como algo ajeno y diferente, a menudo con unas consecuencias nefastas. El resultado es una exploración contrastada y rompedora sobre la relación entre la mujer y la práctica de la medicina, desde la idea del «útero errante» de la Antigua Grecia, pasando por el auge de los juicios por brujería que asolaron Europa y el advenimiento de la histeria como cajón de sastre para todo trastorno difícil de diagnosticar, y hasta las primeras incursiones en el estudio de las enfermedades autoinmunes y los cambios en el conocimiento sobre las hormonas, la menstruación, la menopausia y afecciones como la endometriosis.Repleto de estudios de casos de mujeres que han sufrido, se han enfrentado a la ortodoxia médica y la han rescrito—y de los hombres que controlaron sus destinos—, este libro ofrece un análisis revolucionario sobre la relación entre las mujeres, las enfermedades y la medicina. Cleghorn se adentra en estos casos en un homenaje a las mujeres que sufrieron para que la medicina avanzara, y demuestra lo normalizada que está la enfermedad en la sociedad y la cultura, donde hace mucho que a las mujeres no se les da el crédito que merecen como testigos de sus propias experiencias corporales y su dolor. Hace mucho que urge un cambio de perspectiva: las respuestas se encuentran en el cuerpo, en los relatos de las mujeres enfermas. Y las vidas de las mujeres dependen de que la medicina aprenda a escucharlas.AdquieraENFERMASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788449339141-enfermas/;361,15000000000003
tu yo y un tal vez;romanticos y de amor;libros juveniles;8;20900,0;16700,0;0,2;martinez, maria;crossbooks;rustico;0,56;22,5;14,5;1,0;2022,0;480,0;TU YO Y UN TAL VEZHay caminos destinados a encontrarse.¿Renunciarías a tu mundo por amor?¿Bastaría ese amor, si perdieras todo lo demás?Él ha crecido en un entorno en el que las tradiciones y unos valores anclados al pasado dictaminan su futuro.Ella se siente tan perdida que le cuesta recordar quién es.Él guarda un secreto que podría destruir el vínculo que lo une a su familia.Ella apenas cree en el amor y camina de puntillas por el mundo.Cuando una casualidad hace que los pasos de Jun y Daniela se crucen en las calles de Londres, no imaginan que sus vidas se acabarán uniendo.Encuentros fugaces que se convierten en comienzos.Porque hay huellas en la nieve que no se pueden borrar y amores imposibles que, tal vez, y solo tal vez, duren para siempre.AdquieraTU YO Y UN TAL VEZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566145240-tu-yo-y-un-tal-vez/;326,25
dioses de neon;ficcion juvenil;libros juveniles;3;19900,0;15900,0;0,2;robert, kate;martinez roca;rustico;0,52;23,0;15,0;1,0;2022,0;416,0;DIOSES DE NEONEl mito de Hades y Perséfone nunca había sido tan sexy.Perséfone es una de las jóvenes más bellas y populares de la élite de Olimpo. Su sueño y su plan es alejarse del nido de víboras que es la política de Olimpo y huir para siempre. Pero su plan fracasa cuando su madre la sorprende en una fiesta anunciando públicamente su compromiso con Zeus, el peligroso líder de la gran ciudad.Decidida a no conformarse con el destino que se cierne sobre ella, Perséfone se escapa de la fiesta y huye hasta la Infraciudad, donde busca la protección de Hades, con quien consigue hacer un pacto.Hades ha pasado toda su vida en las sombras. La propuesta de Perséfone de tomar parte en una jugosa y ansiada venganza contra Zeus será excusa suficiente para salir de ellas.Ese pacto pondrá a prueba sus límites y los sumergirá en un juego de seducción y peligro en el que ambos deberán arriesgar todo lo que tienen. Incluso sus sentimientos.Dioses de neón, la novela que arrasa en Estados Unidos.AdquieraDIOSES DE NEONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789569995378-dioses-de-neon/;345,0
lista del juez, la;genero policial;literatura genero policial;10;21000,0;12600,0;0,4;grisham, john;plaza & janes;rustico;0,57;23,0;15,0;1,0;2022,0;432,0;LISTA DEL JUEZ, LAEl padre de Jeri Crosby fue asesinado hace veinte años. Su caso sigue sin resolver, pero Jeri tiene un sospechoso al que ha estado siguiendo de manera obsesiva durante dos décadas. En el camino, ha descubierto otras víctimas y ahora quiere poner el caso en manos de la investigadora Lacy Stoltz. El culpable es inteligente, paciente y conoce la ley. Se trata de un juez de Florida de la jurisdicción de Lacy. Y tiene una lista con los nombres de todos sus objetivos, personas inocentes que le han ofendido de alguna manera. ¿Podrá detenerle Lacy sin convertirse en su próxima víctima?AdquieraLISTA DEL JUEZ, LAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789566129356-lista-del-juez-la/;345,0
horror, el;misterio;libros juveniles;9;14900,0;11900,0;0,2;luna, valeria;planeta editorial;rustico;0,23;21,0;13,5;1,0;2022,0;168,0;HORROR, ELRelatos perturbadores y cargados de humor que estremecerán hasta al lector más escéptico.Luces misteriosas sobre el cielo de Tunquén, duendes ladrones de celulares, corazones despechados que sucumben a la magia negra y fantasmas de niños que deambulan por escuelas rurales son algunos de los protagonistas de los trece relatos que reúne El horror, el terrorífico e hilarante primer libro de ficción de Valeria Luna, conductora del exitoso podcast Con la ayuda de mis amikas.Con un ritmo vertiginoso, la autora teje una  obra sensible y aterradora que te hará encender la luz y mirar si debajo de tu cama se esconde algo más que un calcetín perdido.AdquieraHORROR, ELen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789564082295-horror-el/;283,5
el monje que vendio su ferrari;mente y espiritu;autoayuda;20;12000,0;9000,0;0,25;sharma, robin;debolsillo clave;rustico/bolsillo;0,18;19,0;12,5;1,5;2022,0;216,0;EL MONJE QUE VENDIO SU FERRARIEl monje que vendió su Ferrari es la sugerente y emotiva historia de Julian Mantle, un superabogado cuya vida estresante, desequilibrada y obsesionada con el dinero acaba provocándole un infarto. Ese desastre provoca en Julian una crisis espiritual que lo lleva a enfrentarse a las grandes cuestiones de la vida. Esperando descubrir los secretos de la felicidad y el esclarecimiento, emprende un extraordinario viaje por el Himalaya para conocer una antiquísima cultura de hombres sabios. Y allí descubre un modo de vida más gozoso, así como un método que le permite liberar todo su potencial y vivir con pasión, determinación y paz. Escrito a modo de fábula, este libro contiene una serie de sencillas y eficaces lecciones para mejorar nuestra manera de vivir. Vigorosa fusión de la sabiduría espiritual de Oriente con los principios del éxito occidentales, muestra paso a paso cómo vivir con más coraje, alegría, equilibrio y satisfacción.AdquieraEL MONJE QUE VENDIO SU FERRARIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563255225-el-monje-que-vendio-su-ferrari/;356,25
learning 123 crafty crayons bilingue;libros para colorear;libros infantiles;6;7000,0;5600,0;0,2;vv. aa.;phidal inc.;rustico;0,195;28,0;21,5;1,0;2021,0;24,0;LEARNING 123 CRAFTY CRAYONS BILINGUEEste libro infantil incluye 12 mini crayones para colorear. Los Niños de todas las edades encontrarán imágenes divertidas y fáciles de colorear, cada una en una hoja nueva, para que sea más fácil poder compartir sus habilidades artísticas con amigos y familiares.AdquieraLEARNING 123 CRAFTY CRAYONS BILINGUEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9782764352496-learning-123-crafty-crayons-bilingue/;602,0
rusia: revolucion y guerra civil, 1917-1921;historia universal;historia;8;40900,0;32700,0;0,2;beevor, antony;critica;tapa dura;0,885;23,0;15,5;1,0;2022,0;680,0;RUSIA: REVOLUCION Y GUERRA CIVIL, 1917-1921La obra más ambiciosa del maestro de la narración bélica sobre uno de los acontecimientos más influyentes del siglo xx.Tras el colapso del imperio zarista, entre 1917 y 1921 tuvo lugar en Rusia una lucha devastadora: una incompatible alianza blanca de socialistas moderados y monárquicos reaccionarios tenía pocas posibilidades contra el Ejército Rojo de Trotsky y la dictadura comunista de Lenin. El terror engendró el terror, que a su vez condujo a una crueldad aún mayor sobre hombres, mujeres y niños. La lucha se convirtió en una guerra mundial por delegación, ya que Churchill desplegó armamento y tropas del imperio británico, mientras las fuerzas armadas de Estados Unidos, Francia, Italia, Japón, Polonia y Checoslovaquia desempeñaron papeles rivales.Utilizando los estudios más actualizados y la investigación de archivos, Antony Beevor reúne la imagen completa en una narración apasionante que transmite el conflicto a través de los ojos de todos, desde el trabajador en las calles de Petrogrado hasta el oficial de caballería en el campo de batalla o la mujer médico en un hospital improvisado.Antony BeevorEducado en Winchester y Sandhurst, fue oficial regular del ejército británico. Abandonó el ejército tras cinco años de servicio y se trasladó a París, donde escribió su primera novela. Con The Battle and the Resistance ganó el Runciman Prize en 1992. Es Caballero de las Artes y las Letras del gobierno francés. Stalingrado ha ganado el Samuel Johnson Prize para obras de no ficción en su primera convocatoria.AdquieraRUSIA: REVOLUCION Y GUERRA CIVIL, 1917-1921en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491994220-rusia-revolucion-y-guerra-civil-1917-1921/;356,5
