titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
creer en lo imposible antes del desayuno;autoayuda;autoayuda;5;12000,0;9000,0;0,25;osho;debolsillo;rustico/bolsillo;0,235;19,0;12,5;1,5;2007,0;304,0;CREER EN LO IMPOSIBLE ANTES DEL DESAYUNOAprende de la experiencia de la auténtica realidad.A lo largo de estas páginas Osho se centra en la meditación y en su papel en la búsqueda espiritual, pero no tanto en los aspectos técnicos como en los profundos cambios que experimentan quienes la practican en su personal percepción del mundo.Para responder a todo ello, Osho profundiza -con sencillez, humor y compasión- en los altibajos de cada experiencia individual a lo largo de este viaje. Identifica además las trampas en que puede caer la gente al meditar y da pistas para salir de ellas. La obra toca por tanto puntos como qué es -y no es- la meditación, así como los tópicos y malentendidos que ha construido el mundo occidental a su alrededor.AdquieraCREER EN LO IMPOSIBLE ANTES DEL DESAYUNOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563256529-creer-en-lo-imposible-antes-del-desayuno/;356,25
la batalla por los puentes;historia universal;historia;3;39900,0;31900,0;0,2;beevor, antony;critica;rustico;0,84;22,3;14,3;3,5;2024,0;688,0;"LA BATALLA POR LOS PUENTESEn septiembre de 1944 las tropas aliadas avanzaban por Holanda y se disponían a cruzar el Rin para invadir Alemania; pero el desastre de Arnhem, la última victoria alemana, iba a alargar el conflicto más allá de lo previsto. Basándose en una amplísima documentación, que se utiliza aquí por primera vez, incluyendo diarios y testimonios personales, Antony Beevor desvela la verdad acerca de aquel acontecimiento, en que se mezclaron los errores y la arrogancia de los mandos, el heroísmo de los soldados y los sufrimientos de la población civil. Un libro que Jay Elwes califica como «otra obra maestra del más célebre de los historiadores militares de nuestro tiempo», en el que Beevor muestra no solo su conocimiento de la guerra, sino su maestría de gran narrador.AdquieraLA BATALLA POR LOS PUENTESen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9789569993336-la-batalla-por-los-puentes/;1116,1150000000002
diario de ana frank;clasicos universales;literatura clasicos universales;14;12000,0;9000,0;0,25;frank, anne;debolsillo;rustico/bolsillo;0,31;19,5;13,5;2,3;2025,0;400,0;DIARIO DE ANA FRANKEdición definitiva del célebre Diario de Anne Frank. Su texto amplía en una cuarta parte las ediciones anteriores y ofrece una visión completa y fidedigna de la terrible odisea vivida durante la Segunda Guerra Mundial por la familia Frank.Tras la invasión de Holanda, los Frank, comerciantes judíos alemanes emigrados a Amsterdam en 1933, se ocultaron de la Gestapo en una buhardilla anexa al edificio donde el padre de Anne tenía sus oficinas. Ocho personas permanecieron recluidas desde junio de 1942 hasta agosto de 1944, fecha en que fueron detenidas y enviadas a campos de concentración. Desde su escondite y en las más precarias condiciones, Anne, una niña de trece años, escribió su estremecedor Diario: un testimonio único en su género sobre el horror y la barbarie nazi, y sobre los sentimientos y experiencias de la propia Anne y sus acompañantes. Anne murió en el campo de Bergen-Belsen en marzo de 1945. Su Diario nunca morirá.AdquieraDIARIO DE ANA FRANKen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466378895-diario-de-ana-frank/;605,4749999999999
un padre de pelicula;autores chilenos;literatura autores chilenos;3;12000,0;9000,0;0,25;skarmeta, antonio;debolsillo;rustico;0,088;19,0;12,5;1,0;2025,0;92,0;UN PADRE DE PELICULAEn Contulmo, una aldea del sur de Chile, la vida del joven Jacques se verá marcada para siempre por la marcha de su padre a su París natal. Profesor en la escuela del pueblo, entabla una relación muy especial con un alumno, Augusto Gutiérrez, de 15 años, quien por su cumpleaños le pide que le acompañe a la ciudad vecina, Angol, para perder la virginidad. Jacques visitará antes el prostíbulo y, así, él mismo conoce el sexo por primera vez.En su iniciático viaje topa de forma casual con su padre, a quien todo el mundo imaginaba viviendo en París, quien le relatará que quiso cortar con su anterior vida tras tener un hijo con la hermana de Augusto, de sólo 19 años. La chica, sin embargo, los abandona y regresa a Contulmo. Así, el padre deberá arreglárselas para sobrevivir. La madre de Jacques, ajena a todo, sigue sumida en una depresión y no alcanza a entender el porqué de la marcha de su marido. Jacques, que desea darle una madre al bebé de su padre, propiciará un reencuentro del matrimonio.Dividido en 25 breves capítulos, el autor nos hace partícipes del paso del tiempo, el poder destino, el paso a la madurez, la asunción de responsabilidades, etc.AdquieraUN PADRE DE PELICULAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257076-un-padre-de-pelicula/;237,5
los dias del arcoiris;autores chilenos;literatura autores chilenos;3;14000,0;10500,0;0,25;skarmeta, antonio;debolsillo;rustico;0,188;19,0;12,5;1,0;2025,0;212,0;LOS DIAS DEL ARCOIRISNico ve cómo se llevaban a su padre, el profesor, delante de toda la clase y recuerda que su misión principal es lograr que vuelva. Su enamorada, Patricia Be.ni, le acompaña en su soledad y, con un acto imaginativo, lleno de humor, abren el camino a la libertad en un país cercado por la dictadura y el silencio.Una novela de padres e hijos, maestros y discípulos que se las ingenian para devolver los colores y la música a una capital gris.Con la prosa delicada de Antonio Skármeta y la voz de Nico, la novela es una bella historia real de ilusión y esperanza en tiempos difíciles.AdquieraLOS DIAS DEL ARCOIRISen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563257069-los-dias-del-arcoiris/;237,5
el monje que vendio su ferrari;crecimiento personal;autoayuda;9;12000,0;9000,0;0,25;sharma, robin;debolsillo;rustico/bolsillo;0,182;20,0;13,0;1,5;2025,0;216,0;EL MONJE QUE VENDIO SU FERRARIEl monje que vendió su Ferrari es una fábula espiritual que, desde hace más de quince años, ha marcado la vida de millones de personas en todo el mundo.A través de sus páginas, conocemos la extraordinaria historia de Julian Mantle, un abogado de éxito que, tras sufrir un ataque al corazón, debe afrontar el gran vacío de su existencia. Inmerso en esta crisis existencial, Julian toma la radical decisión de vender todas sus pertenencias y viajar a la India. Es en un monasterio del Himalaya donde aprende las sabias y profundas lecciones de los monjes sobre la felicidad, el coraje, el equilibrio y la paz interior.Con esta historia tan especial e inolvidable, Robin Sharma nos enseña, paso a paso, una nueva manera de enfocar la vida personal, profesional y familiar. Nos muestra lo importante que es emprender un recorrido vital con una dirección clara, con pasión y armonía interior.AdquieraEL MONJE QUE VENDIO SU FERRARIen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466374347-el-monje-que-vendio-su-ferrari/;390,0
polvazo;contemporanea;literatura contemporanea;3;24000,0;22800,0;0,05;volckmer, katharina;anagrama editorial;rustico;0,134;22,0;14,0;1,0;2025,0;168,0;POLVAZOJimmie llega un día más a su lugar de trabajo: un call center de una agencia de viajes londinense donde van a parar, como a un purgatorio, un desfile de perdedores con pasados mejores y un futuro incierto. Trae consigo carmín en los labios, un pelo de un muerto escondido en la cartera y la presencia esquiva de una madre italiana, eterna viuda con la que convive a su pesar.Comparten con él ese espacio liminal una multitud de personajes que son islas: un mando intermedio obsesionado con monitorizar las funciones corporales de sus empleados, un amante en el armario del que ahora lo separan un ascenso y una esposa, un compañero de mesa alemán a medio camino entre un telégrafo y un manual de instrucciones, una mujer sueca cuyo lenguaje del amor es el rencor y una joven burguesa catalana desheredada por su familia a quien la desdicha parece no poder tocar.«Gracias por la espera. Le atiende Jimmie. ¿En qué puedo ayudarle?» abre, como una contraseña, las puertas a un desfile de quejas esperpénticas que insinúan una clase distinta de soledad. Voces a las que el narrador asigna un rostro y un pasado protestan porque dos amantes no han cerrado las cortinas, por no poder pasar un fin de semana romántico a solas o porque un pelo en la almohada suena como el eco de una infidelidad pasada, y reciben a cambio la absolución a su dolor existencial en forma de observaciones propias de un delirio psicoanalítico.Como interludio a estas llamadas, afloran entre los cubículos fragmentos de recuerdos, como coletazos de una humanidad asfixiada por inflexibles códigos de conducta corporativos, y retales de conversaciones inacabadas que presagian un despido inminente.Con una prosa elegante, una mirada tierna y un escandaloso humor negro, Polvazo explora grandes temas de las sociedades capitalistas contemporáneas, como la soledad, la pérdida, los sueños no realizados y el deseo insatisfecho de quienes creen no merecerlo.AdquieraPOLVAZOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788433929617-polvazo/;308,0
no guardar nada;contemporanea;literatura contemporanea;3;19000,0;18050,0;0,05;salter, james;salamandra;rustico;0,418;22,0;14,0;1,0;2025,0;320,0;"NO GUARDAR NADAUn volumen póstumo que reúne los mejores textos de no ficción de James Salter.Recopilación póstuma, este libro se compone de entrevistas con escritores, crónicas de viaje, deportivas y de otras diversas materias, en las que Salter escribe tanto sobre la belleza del mundo natural como sobre los médicos responsables del primer corazón artificial, sus días como piloto de caza, los códigos del honor que aprendió en West Point o sus años como guionista de Hollywood; sin olvidar agudas reflexiones sobre el arte de la escritura y mordaces perfiles sobre autores especialmente queridos por él como Graham Greene, Vladimir Nabokov, Isaak Bábel o Antonia Fraser. Unas piezas que revelan la amplitud y profundidad del interés de James Salter por el mundo y las personas.AdquieraNO GUARDAR NADAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.";https://feriachilenadellibro.cl/producto/9788410340138-no-guardar-nada/;308,0
noche negra;narrativa latinoamericana;literatura narrativa latinoamericana;5;18000,0;17100,0;0,05;quintana, pilar;alfaguara;rustico;0,3;24,0;15,0;1,0;2025,0;272,0;NOCHE NEGRAUna mujer en el corazón de las tinieblas, convertida en la sombra y en la amenaza. Una sobreviviente, perdida y ciega, en la cerrazón del mundo. La extraordinaria nueva novela de Pilar Quintana.Rosa deja atrás su vida citadina para irse a vivir con su novio irlandés a orillas del Pacífico colombiano, en medio de una naturaleza exuberante, por igual fascinante y aterradora. Él debe partir y ella se queda sola. En los cuatro días en los que transcurre el libro debe enfrentarse a un universo amenazante: los indómitos elementos de una selva monstruosa (vendavales, bichos, y la noche absolutamente cerrada), el acecho de los vecinos, que una vez la saben sola se convierten en seres impredecibles y casi de pesadilla, las dudas sobre su relación y sobre la decisión de dejarlo todo para internarse en un hábitat tan inhóspito. A la par de estos días de espanto, el lector va conociendo el pasado de Rosa, sus traumas, sus secretos, la explicación de este presente intimidante.AdquieraNOCHE NEGRAen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563845440-noche-negra/;360,0
mujeres que corren con los lobos  (edicion limitada);autoayuda;autoayuda;2;20000,0;15000,0;0,25;pinkola estes, clarissa;b de bolsillo;empastado/bolsillo;0,738;22,0;15,0;1,0;2025,0;784,0;MUJERES QUE CORREN CON LOS LOBOS  (EDICION LIMITADA)«En toda mujer hay fuerzas poderosas pendientes de descubrir.»Mujeres que corren con los lobos es un fascinante mosaico de historias que nos ofrece una nueva visión de lo femenino y de sus posibilidades.Dentro de toda mujer alienta una vida secreta, una fuerza poderosa llena de buenos instintos, creatividad y sabiduría. Es la Mujer Salvaje, una especie en peligro de extinción debido a los contantes esfuerzos de la sociedad por «civilizar» a las mujeres y constreñirlas a rígidos papeles que anulan su esencia instintiva.En este libro, Clarissa Pinkola Estés revela ricos mitos interculturales, cuentos de hadas e historias (muchas de ellas relativas a su propia familia) para contribuir a que las mujeres recuperen su fuerza y su salud, atributos visionarios de esta esencia instintiva.Mediante los relatos y los comentarios de la autora, examinamos el amor y comprendemos a la Mujer Salvaje. Estés ha creado una psicología femenina en un sentido más verdadero, el que lleva al conocimiento del alma.AdquieraMUJERES QUE CORREN CON LOS LOBOS  (EDICION LIMITADA)en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788413145877-mujeres-que-corren-con-los-lobos-edicion-limitada/;330,0
