titulo,categoria,macrocategoria,disponibles,precio_original,precio_oferta,autor,editorial,encuadernacion,peso,dimensiones,ano_edicion,paginas,idioma,info_adicional,descripcion,link,fecha_extraccion
DUNE : LA CASA CORRINO (PRELUDIO DE DUNE 3),Ciencia Ficción,Literatura,18,$16.000,$12.000,"HERBERT, BRIAN / ANDERSON, KEVIN J.",DEBOLSILLO,Rustico/Bolsillo,"0,445 kg","19 × 12,5 × 3,5 cm",2004.0,640.0,Español,"['0,445 kg', '19 × 12,5 × 3,5 cm', 'HERBERT, BRIAN / ANDERSON, KEVIN J.', 'Rustico/Bolsillo', 'DEBOLSILLO', '2004', '640', 'Español']","
DUNE : LA CASA CORRINO (PRELUDIO DE DUNE 3)


La casa Corrino de Brian Herbert es la conclusión de «Preludio a Dune», precuela ambientada 35 años antes de los hechos acontecidos en la excepcional saga de ciencia ficción «Dune» de Frank Herbert.
El emperador Shaddam Corrino anhela lo que aún no posee: el poder absoluto y un heredero varón. En su camino se interponen la Cofradía Espacial, que le impide controlar el comercio de la melange, la especia adictiva que mantiene unido al imperio; las rivalidades entre Casas, especialmente entre el duque Leto Atreides y el barón Harkonnen, y los oscuros planes de la hermandad Bene Gesserit.
Todos ignoran, sin embargo, que el destino de la civilización está ahora en manos de una mujer decidida, por amor, a desbaratar el plan secular de la Hermandad para crear el todopoderoso Kwisatz Haderach. Si lady Jessica da a luz el hijo varón que tanto ansía el duque Leto, podría alterarse la historia futura del imperio.
Adquiera DUNE : LA CASA CORRINO (PRELUDIO DE DUNE 3) en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788497932462-dune-la-casa-corrino-preludio-de-dune-3/,2025_09_16
LOS MENSAJES DE LOS SABIOS,Mente y Espíritu,Autoayuda,14,$15.000,$11.250,"WEISS, BRIAN",B DE BOLSILLO,Rustico/Bolsillo,"0,220 kg","19 × 12,5 × 2 cm",2022.0,312.0,Español,"['0,220 kg', '19 × 12,5 × 2 cm', 'Español', '312', '2022', 'B DE BOLSILLO', 'Rustico/Bolsillo', 'WEISS, BRIAN']","
LOS MENSAJES DE LOS SABIOS


Brian Weiss es un renombrado psiquiatra estadounidense y director honorario del Departamento de Psiquiatría del hospital Mount Sinai de Miami. Gracias a sus diez best sellers y a sus dos millones de lectores es, también, uno de los mayores autores de espiritualidad del mundo. Entre sus obras destacan Muchas vidas, muchos maestros, Lazos de amor y Muchos cuerpos, una misma alma, todas ellas publicadas por Vergara. Weiss imparte cursos y seminarios en todo el mundo y es un invitado habitual en importantes programas de televisión y radio de Estados Unidos.
Adquiera LOS MENSAJES DE LOS SABIOS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789585693883-los-mensajes-de-los-sabios/,2025_09_16
LA CORTE DEL ECLIPSE,Fantasía y Magia,Libros Juveniles,4,$22.900,$6.900,"LOMELI RAMIREZ, CLAUDIA",PLANETA EDITORIAL,Rustico,"0,585 kg","23 × 15 × 2,5 cm",2023.0,488.0,Español,"['0,585 kg', '23 × 15 × 2,5 cm', 'Español', '488', '2023', 'PLANETA EDITORIAL', 'Rustico', 'LOMELI RAMIREZ, CLAUDIA']","
LA CORTE DEL ECLIPSE


Después de los sucesos de la noche de la Luna Roja y la trágica batalla en el Castillo de la Luna, lo que el rey Emil Solerian desea es la paz entre Ilardya
y Alariel. Aunque los rencores y prejuicios de un milenio no son fáciles de sanar, Emil está decidido a hacer su mejor esfuerzo con un nuevo Tratado que logre una convivencia armónica.
Sin embargo, antes debe lidiar con algo más urgente: los rebeldes de Lestra, quienes están dispuestos a cometer atrocidades inimaginables con tal de derrocar al que consideran un falso rey. Emil viajará en compañía de sus amigos a lugares peligrosos y lejanos para entender el origen de la rebelión.
¿Lograrán prevenir la guerra que se avecina? ¿Qué estarán dispuestos a sacrificar para llegar a la verdad de lo que se oculta en la nación del sol y el reino de la luna?
Adquiera LA CORTE DEL ECLIPSE en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789504979517-la-corte-del-eclipse/,2025_09_16
TRAICION DE ROMA,Novela Histórica,Literatura,2,$18.000,$13.500,"POSTEGUILLO, SANTIAGO",EDICIONES B,Empastado/Bolsillo,"0,702 kg","19,5 × 13 × 5,5 cm",2014.0,872.0,Español,"['0,702 kg', '19,5 × 13 × 5,5 cm', 'POSTEGUILLO, SANTIAGO', 'Español', '872', '2014', 'Empastado/Bolsillo', 'EDICIONES B']","
TRAICION DE ROMA


La gran Trilogía de Roma. Ahora en formato de bolsillo con tapa dura y sobre cubierta. Una obra imprescindible para lso aficionados a la novela histórica de calidad. En la última novela de la Trilogía de Roma, tras Africanus: el hijo del cónsul y Las legiones malditas, Santiago Posteguillo nos narra el épico final de la vida de dos de los personajes más legendarios de la historia: Escipión y Aníbal. Tras la batalla de Zama, los eternos enemigos vuelven a encontrarse en medio de la vorágine de la guerra de Asia.Pero La traición de Roma es también la historia del hijo de Escipión, que lucha por estar a la altura de un padre inalcanzable; la de la joven Cornelia, la hija menor, y sus ansias de libertad en un mundo de hombres; la de Marco Porcio Catón y su persecución política contra los Escipión, junto con su aliado Graco, heredero de la poderosa familia Sempronia; la de Areté, una prostituta griega demasiado bella para pasar inadvertida; la del rey Antíoco III de Siria, cegado por las ambiciones de sus generales; la de Cayo Lelio, dispuesto a permanecer junto a su gran amigo Escipión más allá de la razón, y la de muchos otros personajes igualmente fascinantes.

Adquiera TRAICION DE ROMA en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788498729696-traicion-de-roma/,2025_09_16
POSDATA TE QUIERO,Novela Romántica,Literatura,2,$14.000,$10.500,"AHERN, CECELIA",B DE BOLSILLO,Rustico/Bolsillo,"0,310 kg","19 × 12,5 × 2,5 cm",2019.0,448.0,Español,"['0,310 kg', '19 × 12,5 × 2,5 cm', 'AHERN, CECELIA', 'Español', '448', '2019', 'B DE BOLSILLO', 'Rustico/Bolsillo']","
POSDATA TE QUIERO
 
Hay personas que esperan toda la vida para encontrar a su alma gemela, pero ese no es el caso de Holly y Gerry. Se conocían desde el instituto, y sentían como si siempre hubiesen estado juntos. El uno podía acabar las frases del otro, e incluso cuando discutían lo hacían riendo.
Holly pensaba que no podría vivir sin Gerry. Pero tres meses despues de su muerte, recibe un misterioso paquete. Él le ha dejado una serie de cartas, en las que, con ternura, sabiduría y humor, la anima a seguir adelante.
Holly pronto se dará cuenta de que la vida está para vivirla, pero que es mucho más bonita si hay un ángel que te hace compañía.
Una historia de amor imperecedera e inolvidable que conquistó a millones de lectores en todo el mundo y que llegará al corazón de las nuevas generaciones.
Adquiera POSDATA TE QUIERO en nuestros locales y en nuestra tienda virtual.
No olvide aprovechar nuestras grandes promociones en este enlace de Ofertas
Síguenos en nuestras redes sociales Instagram, Facebook y Twitter.
",https://feriachilenadellibro.cl/producto/9788498721881-posdata-te-quiero/,2025_09_16
RESPIRACION ARTIFICIAL,Contemporanea,Literatura,5,$13.000,$9.750,"PAGLIA, RICARDO",DEBOLSILLO,Rustico/Bolsillo,"0,160 kg","19 × 12,5 × 1,3 cm",2016.0,224.0,Español,"['0,160 kg', '19 × 12,5 × 1,3 cm', 'PAGLIA, RICARDO', 'DEBOLSILLO', 'Rustico/Bolsillo', 'Español', '224', '2016']","
RESPIRACION ARTIFICIAL
Respiración artificial se considera la novela de culto de Ricardo Piglia, una obra que lo reafirma como uno de los grandes de la narrativa latinoamericana contemporánea.
Adquiera RESPIRACION ARTIFICIAL en nuestros locales y en nuestra tienda virtual.
No olvide aprovechar nuestras grandes promociones en este enlace de Ofertas
Síguenos en nuestras redes sociales Instagram, Facebook y Twitter.
",https://feriachilenadellibro.cl/producto/9789875669383-respiracion-artificial/,2025_09_16
HIRAET : EL FINAL DE LA TRAVESIA N.2,Cómic y Novelas Gráficas,Literatura,5,$12.000,$7.200,"KAMATANI, YUHKI",DISTRITO MANGA,Rustico,"0,280 kg","18 × 13 × 1,2 cm",2023.0,192.0,Español,"['0,280 kg', '18 × 13 × 1,2 cm', 'Español', '192', '2023', 'DISTRITO MANGA', 'Rustico', 'KAMATANI, YUHKI']","
HIRAET : EL FINAL DE LA TRAVESIA N.2


Mika se embarca en un viaje rumbo a Yomi, la tierra de los muertos, para reencontrarse con su mejor amiga. La acompañan Hibino, un humano inmortal que busca a su media naranja, y Pol, un ser misterioso que asegura ser un dios.
Durante la travesía, Mika y los demás se topan con Chihiro Awashima, una investigadora de la tradición oral y el folclore a cuya mejor amiga le han detectado un cáncer terminal. Para ayudarla y evitar su muerte, Awashima necesita que Hibino le revele el secreto de su inmortalidad…
 
Adquiera HIRAET : EL FINAL DE LA TRAVESIA N.2 en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9786289535631-hiraet-el-final-de-la-travesia-n-2/,2025_09_16
EL DIA DE LOS BARBAROS : 9 DE AGOSTO DE 378,Historia Universal,Historia,7,$20.900,$14.900,"BARBERO, ALESSANDRO",CRITICA,Rustico,"0,305 kg","23 × 15,5 × 2 cm",2023.0,254.0,Español,"['0,305 kg', '23 × 15,5 × 2 cm', 'Español', '254', '2023', 'CRITICA', 'Rustico', 'BARBERO, ALESSANDRO']","
EL DIA DE LOS BARBAROS : 9 DE AGOSTO DE 378


9 de agosto de 378. En las llanuras al noroeste de la ciudad de Adrianópolis, en la provincia romana de Tracia -actualmente Turquía- se desarrolló una batalla decisiva para el Imperio Romano. Las legiones del emperador Valens se enfrentaron a las hordas godas que habían atravesado la frontera más oriental del imperio y sufrieron la más severa derrota desde la victoria de Aníbal en Cannae seiscientos años antes. El imperio sobrevivió todavía un siglo a la sangrienta batalla de Adrianópolis, pero ese día marcó un punto de inflexión: fue el inicio de su fin.
Alessandro Barbero ofrece al lector un apasionante y minucioso relato de esta batalla legendaria y plasma el mundo cambiante en el que se produjo. El resultado es la prodigiosa recreación de una derrota que marcó el inicio de la decadencia del Imperio Romano.
 
Adquiera EL DIA DE LOS BARBAROS : 9 DE AGOSTO DE 378 en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789569993251-el-dia-de-los-barbaros-9-de-agosto-de-378/,2025_09_16
EL AMOR ES IMPOSIBLE : OCHO TESIS FILOSOFICAS,Ensayos Filosóficos,Filosofía,9,$21.900,$15.900,"SZTAJNSZRAJBER, DARIO",PAIDOS,Rustico,"0,464 kg",23 × 15 × 2 cm,2023.0,416.0,Español,"['0,464 kg', '23 × 15 × 2 cm', 'SZTAJNSZRAJBER, DARIO', 'Rustico', 'PAIDOS', '2023', 'Español', '416']","
EL AMOR ES IMPOSIBLE : OCHO TESIS FILOSOFICAS

 ¿Qué significa que el único amor verdadero sea el amor imposible? ¿Es el amor lo que suponemos que es? O antes que eso, ¿es lo imposible aquello definido como lo inalcanzable, lo inconsumable, lo inenarrable? ¿Y si fueran las preguntas lo que hay que cambiar porque es en la imposibilidad del encuentro amoroso donde radica su verdad? Este libro es una propuesta de deconstrucción radical sobre uno de los eventos más radicales de nuestra existencia. Ocho tesis que tienen el arrojo de devenir en una serie de desvelos, nuevas intuiciones, destellos que nos inviten a temblar. Es la puesta en página de una práctica política concreta, que increpa a ese amor comercial, romántico, que se nos vende como dominante, como único y normativo. Es ir a martillazos contra esa arquitectura sentimental sostenida por el sentido común, por definiciones y naturalezas forzadas. Y entonces, sí: categorías cristalizadas como la pareja, la familia, la media naranja y el primer amor, entre otras, son puestas en evidencia, caen bajo su propio peso: se rompen. El amor es imposible conduce al insomnio, y de ahí a una revolución íntima y perturbadora comandada por el deseo genuino de la intranquilidad: no queremos estar en donde estamos. Un trabajo de años, de lecturas y de diálogos en el que Darío Sztajnszrajber pone una vez más, al alcance de quienes estén dispuestos a jugar el juego, las herramientas de la filosofía para desandar lo andado, rebelarse y exigir siempre, aunque suene a destiempo y desubicado, animarse a lo imposible.
Adquiera EL AMOR ES IMPOSIBLE : OCHO TESIS FILOSOFICAS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566195191-el-amor-es-imposible-ocho-tesis-filosoficas/,2025_09_16
EMOCIONAL: COMO LOS SENTIMIENTOS MOLDEAN NUESTRO PENSAMIENTO,Psicología,Medicina,6,$20.900,$14.900,"MLODINOW, LEONARD",CRITICA,Rustico,"0,429 kg","23 × 15 × 1,5 cm",2023.0,296.0,Español,"['0,429 kg', '23 × 15 × 1,5 cm', '296', '2023', 'CRITICA', 'Rustico', 'MLODINOW, LEONARD', 'Español']","
EMOCIONAL: COMO LOS SENTIMIENTOS MOLDEAN NUESTRO PENSAMIENTO


¿Cómo podemos conectar mejor con los demás? ¿Cómo podemos dar sentido a nuestra frustración, miedo y ansiedad? ¿Qué podemos hacer para vivir una vida más feliz? Las respuestas se encuentran en la comprensión de nuestras emociones. Durante mucho tiempo se ha creído que pensar y sentir eran fuerzas separadas y opuestas en nuestro comportamiento, pero los extraordinarios avances en psicología y neurociencia han demostrado que las emociones son tan críticas para nuestro bienestar como el pensamiento.
En su nuevo libro, Leonard Mlodinow nos muestra cómo las emociones pueden ser de ayuda, por qué a veces duelen y qué podemos aprender en ambos casos, a la vez que nos ofrece herramientas para gestionarlas mejor. Con gran claridad, sentido del humor y a través de fascinantes historias, Emocional es una exploración de la nueva ciencia de los sentimientos y una guía esencial para maximizar los beneficios de uno de los regalos más preciados que nos ha dado la naturaleza.
Adquiera EMOCIONAL: COMO LOS SENTIMIENTOS MOLDEAN NUESTRO PENSAMIENTO en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789569993244-emocional-como-los-sentimientos-moldean-nuestro-pensamiento/,2025_09_16
EL AMANTE POLACO,Novela Histórica,Literatura,8,$31.900,$9.900,"PONIATOWSKA, ELENA",SEIX BARRAL,Rustico,"0,965 kg","23 × 13,5 × 4,5 cm",2023.0,904.0,Español,"['0,965 kg', '23 × 13,5 × 4,5 cm', 'Español', '904', '2023', 'SEIX BARRAL', 'Rustico', 'PONIATOWSKA, ELENA']","
EL AMANTE POLACO

Un reino a punto de desaparecer y las emociones de sus protagonistas.
Es 1743 y mientras escucha atento las históricas hazañas de su familia, el pequeño Stanislaw recorre en compañía de su madre un deslumbrante paisaje invernal. Lejos está su pasión por Catalina la Grande y la convulsa llegada de los Poniatowski al trono de Polonia. Dos siglos más tarde y con tan solo 10 años, Elena mira por última vez caer la nieve sobre París. La espera un largo viaje a México, el país de Paula Amor, su madre, en el que encuentran refugio muchos perseguidos por la guerra que asola Europa.
Esta primera parte de El amante polaco es un fascinante viaje a través de dos tiempos narrativos y de dos fuerzas del destino: el de las cortes europeas del siglo XVIII y el de la Ciudad de México en plena ebullición, el de las intrigas palaciegas y las tertulias literarias de la década de 1950, el de los romances prohibidos y el de una vida volcada a la escritura, tan llena de momentos intensos como dolorosos.
Elena Poniatowska, ganadora del Premio Cervantes 2013, nos entrega su novela más personal, donde el lenguaje íntimo y las emociones se enlazan con la épica historia de un reino a punto de desaparecer. Esta obra cumbre en la carrera de la autora reafirma su sorprendente originalidad y su inigualable talento narrativo.. 
Adquiera EL AMANTE POLACO en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789878979755-el-amante-polaco/,2025_09_16
"TRAMPAS DE LA CULTURA, LAS",Sociología,Ciencias Sociales,1,$17.000,$8.600,MARIA CARMEN,PAIDOS,Rustico,"0,405 kg",23 × 15 × 2 cm,2006.0,288.0,Español,"['0,405 kg', '23 × 15 × 2 cm', 'PAIDOS', 'Español', '288', '2006', 'Rustico', 'MARIA CARMEN']","
TRAMPAS DE LA CULTURA, LAS


¿La cultura redime la pobreza o funciona, más bien, como una trampa? La pregunta sintetiza los problemas que este libro se propone enfrentar mediante la reconstrucción de la metamorfosis de un barrio emblemático de Buenos Aires: el Abasto. Considerado el Bronx porteño por su abrumadora cantidad de “indeseables” fundamentalmente habitantes de casas tomadas-, el Abasto se reinventó en los últimos años como barrio “noble” a partir de la inauguración de un shopping en lo que fuera el Mercado Central de frutas y verduras de la ciudad.

Adquiera TRAMPAS DE LA CULTURA, LAS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789501265590-trampas-de-la-cultura-las/,2025_09_16
LA JUGADA FINAL : UNA HERENCIA EN JUEGO 3,Narrativa Fantástica,Libros Juveniles,18,$20.000,$12.000,"LYNN BARNES, JENNIFER",MOLINO,Rustico,"0,510 kg",21 × 14 × 3 cm,2023.0,464.0,Español,"['0,510 kg', '21 × 14 × 3 cm', 'LYNN BARNES, JENNIFER', 'Rustico', 'MOLINO', '2023', 'Español', '464']","
LA JUGADA FINAL : UNA HERENCIA EN JUEGO 3

Para conseguir heredar billones, Avery Grambs solo tiene que sobrevivir unas semanas más en la mansión Hawthorne. El momento en que Avery se convierta en la adolescente más rica del planeta se acerca, y es entonces cuando aparece un visitante que podría cambiarlo todo. Aún hay un último enigma que resolver, y Avery y los hermanos Hawthorne se verán atrapados en un peligroso juego una vez más.
Atrapada en un mundo de riqueza y privilegios, con el peligro acechando a cada paso, Avery tendrá que ir por todas y jugar a ese juego… si quiere sobrevivir. 
Adquiera LA JUGADA FINAL : UNA HERENCIA EN JUEGO 3 en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566146186-la-jugada-final-una-herencia-en-juego-3/,2025_09_16
HARRY : LA BIOGRAFIA NO OFICIAL DE HARRY STYLES,Biografías de Artistas (Música-Pintura-etc.),Ensayos y Biografías,10,$19.000,$11.400,"WHITE, DANNY",ROCA EDITORIAL,Rustico,"0,365 kg","23 × 15 × 1,5 cm",2023.0,240.0,Español,"['0,365 kg', '23 × 15 × 1,5 cm', 'WHITE, DANNY', 'Rustico', 'ROCA EDITORIAL', '2023', 'Español', '240']","
HARRY : LA BIOGRAFIA NO OFICIAL DE HARRY STYLES


Un libro que te llevará al corazón de la estrella pop del momento. Una lectura para descubrir todos los secretos de Harry Styles.
Esta biografía detallada narra la vida de Harry Styles hasta la actualidad. Desde su infancia y su salto a la fama en The X Factor hasta el lanzamiento de su música en solitario, convirtiéndose en un ícono de la moda. En este libro estamos más cerca de Harry que nunca. Una montaña rusa de emociones en la que podemos ver el inicio de su carrera, la separación de One Direction y cómo Harry consiguió reinventarse a sí mismo, llegando a convertirse en la estrella de rock que siempre había querido ser. No contento con ser uno de los artistas pop más grandes del mundo, Harry también ha cultivado una carrera como estrella de cine y televisión, apareciendo en éxitos de taquilla como Dunkerque, así como presentando el show Saturday Night Live. También se ha hecho un nombre en el mundo de la moda, presentando la Gala Met con Serena Williams y Lady Gaga, y es imagen de la icónica marca Gucci. ¡Tienes en tus manos la biografía definitiva sobre Harry Styles!

Adquiera HARRY : LA BIOGRAFIA NO OFICIAL DE HARRY STYLES en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9788419449214-harry-la-biografia-no-oficial-de-harry-styles/,2025_09_16
COMPAS 2 : LOS COMPAS ESCAPAN DE LA PRISION,Humor y Comics,Libros Infantiles,7,$18.900,$13.900,"MIKECRACK – TROLLINO, EL – TIMBA  VK",MARTINEZ ROCA,Rustico,"0,305 kg",23 × 15 × 2 cm,2022.0,222.0,Español,"['0,305 kg', '23 × 15 × 2 cm', 'MIKECRACK – TROLLINO, EL – TIMBA VK', 'Rustico', 'MARTINEZ ROCA', 'Español', '222', '2022']","
COMPAS 2 : LOS COMPAS ESCAPAN DE LA PRISION


Gracias al diamantito legendario, MIKE, TIMBA y TROLLI pueden continuar por fin con sus merecidas vacaciones… ¿O no? Justo cuando están celebrándolo, aparece el sargento Pimiento, al mando de la policía de Tropicubo, y los detiene por vandalismo. ¡Pero si ellos no han hecho nada!
Por más que protestan, parece que la nueva aventura de los Compas tendrá lugar en un sitio que ninguno de ellos imaginaba…

Adquiera COMPAS 2 : LOS COMPAS ESCAPAN DE LA PRISION en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789915674483-compas-2-los-compas-escapan-de-la-prision/,2025_09_16
MEMORIAS DE UNA JOVEN FORMAL,Contemporanea,Literatura,1,$13.000,$9.750,"DE BEAUVOIR, SIMONE",DEBOLSILLO,Rustico/Bolsillo,"0,275 kg","19 × 12,5 × 2,5 cm",2017.0,368.0,Español,"['0,275 kg', '19 × 12,5 × 2,5 cm', 'DEBOLSILLO', 'DE BEAUVOIR, SIMONE', 'Rustico/Bolsillo', 'Español', '368', '2017']","
MEMORIAS DE UNA JOVEN FORMAL
Memorias de una joven formal, la primera parte de la autobiografía de Simone de Beauvoir, traza las primeras etapas de un aprendizaje -existir sin concesiones a falsos ideales o autoengaños- y culmina con un gran encuentro: recién ingresada en la Sorbona, traba amistad con alguien a quien acaba de conocer, Jean-Paul Sartre, quien le dice: A partir de ahora, la tomo entre mis manos. Completan la autobiografía La fuerza de las cosas, La plenitud de la vida y Una muerte muy dulce.
Adquiera MEMORIAS DE UNA JOVEN FORMAL en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9786073154383-memorias-de-una-joven-formal/,2025_09_16
LAS 36 ESTRATAGEMAS CHINAS,Ciencias Sociales,Ciencias Sociales,3,$13.500,$9.900,"VASSEROT, ANA ARANDA / TUBAU, DANIEL",ARIEL QUINTA ESENCIA,Rustico,"0,290 kg","21 × 13,5 × 2 cm",2023.0,304.0,Español,"['0,290 kg', '21 × 13,5 × 2 cm', 'VASSEROT, ANA ARANDA / TUBAU, DANIEL', 'Rustico', 'ARIEL QUINTA ESENCIA', 'Español', '304', '2023']","
LAS 36 ESTRATAGEMAS CHINAS


Redescubierto de manera misteriosa en el siglo xx, Las 36 estratagemas chinas es uno de los textos de estrategia más populares del momento. Un clásico atemporal que ofrece trucos y consejos para salir victorioso en las circunstancias más difíciles, lograr que los demás hagan (sin darse cuenta) lo que queremos y distraer la atención de lo que realmente importa.
Estas estrategias trascienden el conflicto bélico y se emplean en campos como la psicología, el crecimiento personal, la educación, la política o la narrativa. Un libro que nos ayuda a mejorar nuestro poder de persuasión y nos orienta en la complejidad de la civilización china.

Adquiera LAS 36 ESTRATAGEMAS CHINAS en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789569948282-las-36-estratagemas-chinas/,2025_09_16
PACK LIGHTYEAR,Ficción y Cuentos,Libros Infantiles,5,$21.900,$9.900,DISNEY,PLANETA JUNIOR,Pack,"0,467 kg","23,5 × 19,5 × 1 cm",2023.0,240.0,Español,"['0,467 kg', '23,5 × 19,5 × 1 cm', 'DISNEY', 'Pack', 'PLANETA JUNIOR', '2023', '240', 'Español']","
PACK LIGHTYEAR
?Avent?rate al espacio exterior con el aut?ntico Buzz Lightyear! Este pack contiene ?Lightyear, la novela? y ?Lightyear, libro de arte?.
Adquiera PACK LIGHTYEAR en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566159995-pack-lightyear/,2025_09_16
EL GRAN EXPERIMENTO,Sociología,Ciencias Sociales,3,$26.900,$18.900,"MOUNK, YASCHA",PAIDOS,Rustico,"0,484 kg",23 × 15 × 1 cm,2023.0,384.0,Español,"['0,484 kg', '23 × 15 × 1 cm', 'MOUNK, YASCHA', 'Rustico', 'PAIDOS', '2023', '384', 'Español']","
EL GRAN EXPERIMENTO
Yascha Mounk, autor de El pueblo contra la democracia y uno de los pensadores pol?ticos m?s importantes de la actualidad, reflexiona sobre el mayor desaf?o de nuestro tiempo: c?mo convivir en paz e igualdad en democracias diversas. Algunas democracias son muy homog?neas, otras han mantenido durante mucho tiempo una jerarqu?a racial o religiosa muy marcada, en la que algunos grupos dominan y explotan a los otros. A lo largo de la historia ninguna democracia ha conseguido jam?s ser a la vez diversa e igualitaria. Y, sin embargo, lograr ese objetivo es ahora el foco del proyecto democr?tico en pa?ses de todo el mundo. Es, seg?n Yascha Mounk, el mayor experimento de nuestro tiempo. Bas?ndose en la historia, la psicolog?a social y la pol?tica comparada, Mounk examina c?mo las diversas sociedades han sufrido durante mucho tiempo los males de la dominaci?n, la fragmentaci?n o la anarqu?a estructurada. Por ello, no es de extra?ar que la mayor?a de la gente se muestre profundamente pesimista respecto a la posibilidad de que todas las personas puedan integrarse armoniosamente, celebrando sus diferencias. Pero el pasado puede ofrecernos perspectivas cruciales para descubrir c?mo podemos hacerlo mejor. Hay margen para la esperanza. El Gran Experimento no solo ofrece una profunda comprensi?n de un problema urgente, sino tambi?n una aut?ntica esperanza en nuestra capacidad para solucionarlo. Como sostiene Mounk, renunciar a la idea de construir democracias diversas, justas y pr?speras no es una opci?n,  por eso debemos esforzarnos por hacer realidad nuestra visi?n m?s ambiciosa para el futuro de nuestras sociedades.
Adquiera EL GRAN EXPERIMENTO en nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace de OfertasSíguenos en nuestras redes sociales Instagram, Facebook y Twitter. 
",https://feriachilenadellibro.cl/producto/9789566195122-el-gran-experimento/,2025_09_16
